Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
EBAY INC,PRINCIPAL MTS ARCHITECT,282000,282000,282000.0,1
EBAY INC,DIRECTOR PRODUCT MANAGEMENT 1 TECH,260000,260000,260000.0,1
EBAY INC,PRINCIPAL MTS SOFTWARE ENGINEERING,258436,258436,258436.0,1
EBAY INC,LEAD PRODUCT MANAGER – TECHNICAL,250000,250000,250000.0,1
EBAY INC,DIRECTOR PRODUCT MANAGEMENT,242042,242042,242042.0,1
EBAY INC,SR MTS SOFTWARE ENGINEER,240000,240000,240000.0,1
EBAY INC,MANAGER SOFTWARE DEVELOPMENT 3,225000,259952,239813.0,5
EBAY INC,MANAGER BUSINESS SYSTEMS 3,238687,238687,238687.0,3
EBAY INC,MANAGER SOFTWARE DEVELOPMENT 2,221786,240690,231238.0,2
EBAY INC,ITSS SR MANAGER SOFTWARE ENGINEERING,229772,229772,229772.0,1
EBAY INC,MANAGER SOFTWARE ENGINEER 2,224971,224971,224971.0,2
EBAY INC,LEAD PRODUCT MANAGER TECHNICAL,196181,250000,223090.5,2
EBAY INC,MTS 2 CONFIG RELEASE ENGINEER,220554,220554,220554.0,2
EBAY INC,MTS 2 INFORMATION SECURITY,220000,220000,220000.0,1
EBAY INC,MANAGER PRODUCT MANAGEMENT 3 TECH,201010,231000,216005.0,2
EBAY INC,SR MTS INFORMATION SECURITY ENG,215999,215999,215999.0,1
EBAY INC,APPLIED RESEARCHER 3,210000,210000,210000.0,2
EBAY INC,MTS 2 SOFTWARE ENGINEER,172000,236660,209776.83333333334,24
EBAY INC,SR MANAGER PTS,208200,208200,208200.0,1
EBAY INC,MANAGER PRODUCT MANAGEMENT 2 TECH,207300,207300,207300.0,1
EBAY INC,MANAGER INFORMATION MANAGEMENT 3,204000,204000,204000.0,1
EBAY INC,SR PRODUCT MANAGER 2 TECHNICAL,201260,201260,201260.0,1
EBAY INC,MTS1 SOFTWARE ENGINEER,176633,207468,194141.0,5
EBAY INC,MTS 2 SOFTWARE ENGINEER QUALITY,178333,201672,190002.5,2
EBAY INC,SR DESIGNER 1,190000,190000,190000.0,1
EBAY INC,PAYMENTS SECURITY PROGRAM MANAGER,185000,185000,185000.0,1
EBAY INC,MANAGER DATA SCIENCE – ANALYTICS 2,183200,183200,183200.0,1
EBAY INC,APPLIED RESEARCHER 2,182710,182710,182710.0,2
EBAY INC,MANAGER SYSTEMS ADMINISTRATION 2,182510,182510,182510.0,1
EBAY INC,MTS 1 SOFTWARE ENGINEER,135803,209549,181818.39705882352,68
EBAY INC,SENIOR CLOUD PLATFORM ENGINEER,180000,180000,180000.0,1
EBAY INC,SR PRODUCT MANAGER 2 – TECHNICAL,180000,180000,180000.0,1
EBAY INC,SR PRODUCT MANAGER 1 – TECHNICAL,179000,179000,179000.0,1
EBAY INC,MEMBER OF TECHNICAL STAFF,139464,191041,173369.0,5
EBAY INC,DATA SCIENTIST 2,170000,174590,172295.0,2
EBAY INC,MTS 1 STORAGE ENGINEER,172000,172000,172000.0,1
EBAY INC,PROGRAM MANGAGEMENT 5,170000,170000,170000.0,1
EBAY INC,MTS 1 INFORMATION SECURITY ENGINEER,170000,170000,170000.0,1
EBAY INC,MT1 DATABASE ENGINEERING,170000,170000,170000.0,1
EBAY INC,MTS 1 SOFTWARE ENGINEER QUALITY,157395,180000,169413.33333333334,6
EBAY INC,MEMBER OF TECHNICAL STAFF 1,161795,172925,167360.0,2
EBAY INC,SR PRODUCT MANAGER 1 TECHNICAL,140000,185000,167222.22222222222,9
EBAY INC,MANAGER PRODUCT DEVELOPMENT,136014,228488,166992.875,8
EBAY INC,MANAGER SOFTWARE DEVELOPMENT,109990,217722,166591.4,10
EBAY INC,SENIOR PRODUCT MANAGER TECHNICAL,165000,165000,165000.0,1
EBAY INC,MANAGER BUSINESS ANALYTICS 2,164693,164693,164693.0,1
EBAY INC,MTS 1 BUSINESS SYSTEMS ANALYST,160993,160993,160993.0,1
EBAY INC,PRODUCT MANAGER SEO,160000,160000,160000.0,1
EBAY INC,PRODUCT MANAGER PAYMENTS,156000,156000,156000.0,1
EBAY INC,SENIOR PRODUCT MANAGER 1 TECHNICAL,155000,155000,155000.0,1
EBAY INC,SENIOR SOFTWARE ENGINEER,155000,155000,155000.0,1
EBAY INC,ANALYST 5 PAYMENTS,154566,154566,154566.0,1
EBAY INC,SOFTWARE ENGINEER 3,107370,196994,154339.578125,64
EBAY INC,APPLIED RESEARCHER 1,128000,176460,152230.0,2
EBAY INC,SENIOR DATA SCIENTIST PRODUCT ANALYTICS AND INSIGHTS,152000,152000,152000.0,1
EBAY INC,TECHNICAL SERVICES ENGINEER,150000,150000,150000.0,1
EBAY INC,SENIOR MANAGER RISK MANAGEMENT 2,148000,148000,148000.0,1
EBAY INC,INFORMATION SECURITY ENGINEER 3,148000,148000,148000.0,1
EBAY INC,MANAGER FINANCE 1,147900,147900,147900.0,1
EBAY INC,TAX TECHNOLOGY MANAGER,146000,146000,146000.0,1
EBAY INC,E COMMERCE MARKETING ANALYST 5,145000,145000,145000.0,1
EBAY INC,BUSINESS PROCESS ANALYST 4,145000,145000,145000.0,1
EBAY INC,MANAGER RISK MANAGEMENT 1,145000,145000,145000.0,1
EBAY INC,MANAGER INDIRECT TAX TECHNOLOGY AND OPERATIONS,145000,145000,145000.0,1
EBAY INC,PRODUCT MANAGER 3 TECHNICAL,145000,145000,145000.0,2
EBAY INC,SOFTWARE ENGINEER 3 QUALITY,130363,150000,142167.5,4
EBAY INC,MANAGER BUSINESS ANALYTICS 1,135000,148000,141500.0,2
EBAY INC,DATA SCIENTIST 1,120000,155000,138745.5,4
EBAY INC,BUSINESS ANALYTICS 4,138000,138000,138000.0,2
EBAY INC,AMERICAS MANAGER OF FINANCE,135646,135646,135646.0,1
EBAY INC,DATA SCIENCE ANALYST 2,132000,132000,132000.0,2
EBAY INC,NETWORK ENGINEER 3,118314,140000,129157.0,2
EBAY INC,DATA SCIENTIST,88275,186846,128440.2,10
EBAY INC,NETWORK SECURITY ENGINEER,128000,128000,128000.0,1
EBAY INC,NETWORK SECURITY ENGINEER 3,128000,128000,128000.0,1
EBAY INC,SOFTWARE ENGINEER 2 QUALITY,120000,130000,125381.25,4
EBAY INC,STRATEGY DEVELOPMENT 3,125000,125000,125000.0,1
EBAY INC,SENIOR ACCOUNTING SYSTEM ANALYST,125000,125000,125000.0,1
EBAY INC,SOFTWARE ENGINEER 2,110000,150015,124984.69230769231,26
EBAY INC,SOFTWARE ENGINEER II,120000,120000,120000.0,1
EBAY INC,PRODUCT MANAGER 3,120000,120000,120000.0,1
EBAY INC,PROGRAM MANAGEMENT 4,100000,140000,120000.0,2
EBAY INC,SOFTWARE ENGINEER,96866,143794,119503.4,10
EBAY INC,RISK ANALYST 3,105000,132000,118500.0,2
