Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
EDWARDS LIFESCIENCES LLC,SR DIRECTOR MEDICAL AFFAIRS,207979,207979,207979,1
EDWARDS LIFESCIENCES LLC,SR MANAGER IT INFORMATION SECURITY,204700,204700,204700,1
EDWARDS LIFESCIENCES LLC,SR MANAGER REGULATORY AFFAIRS,167586,167586,167586,1
EDWARDS LIFESCIENCES LLC,SR ARCHITECT DATA PLATFORMS AND ADVANCED ANALYTICS,164819,164819,164819,1
EDWARDS LIFESCIENCES LLC,PRINCIPAL DEVELOPER IT,149136,149136,149136,1
EDWARDS LIFESCIENCES LLC,PRINCIPAL DATA SCIENTIST,142501,142501,142501,1
EDWARDS LIFESCIENCES LLC,STAFF ENGINEER R&D,126000,126000,126000,1
EDWARDS LIFESCIENCES LLC,MANAGER MEDICAL WRITING,120598,120598,120598,1
EDWARDS LIFESCIENCES LLC,SR SPECIALIST REGULATORY AFFAIRS CRITICAL CARE,115000,115000,115000,1
EDWARDS LIFESCIENCES LLC,SR SPECIALIST REGULATORY AFFAIRS,114739,114739,114739,1
EDWARDS LIFESCIENCES LLC,PRINCIPAL ENGINEER IT,102898,102898,102898,1
EDWARDS LIFESCIENCES LLC,SR NETWORK ENGINEER,102898,102898,102898,1
EDWARDS LIFESCIENCES LLC,CLINICAL RECORDS ASSOCIATE SPECIALIST,72000,72000,72000,1
