Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ELI LILLY AND COMPANY,DIRECTOR STATISTICS,207579,207579,207579,2
ELI LILLY AND COMPANY,ASSOCIATE DIRECTOR – MES TECHNICAL LEAD,180000,180000,180000,2
ELI LILLY AND COMPANY,ADVISOR FORMULATION RESEARCH,157122,157122,157122,1
ELI LILLY AND COMPANY,SENIOR RESEARCH SCIENTIST,147840,147840,147840,2
ELI LILLY AND COMPANY,PRINCIPAL SECURITY DEVOPS IDENTITY ENGINEER,140000,140000,140000,2
ELI LILLY AND COMPANY,SR PRINCIPAL ENGINEER LP1 AUTOMATION,140000,140000,140000,3
ELI LILLY AND COMPANY,ASSOCIATE DIRECTOR AUTOMATION ENGINEER,138381,138381,138381,1
ELI LILLY AND COMPANY,ADVISOR MASS SPECTROMETRY,135000,135000,135000,2
ELI LILLY AND COMPANY,MANAGER IDS,130323,130323,130323,2
ELI LILLY AND COMPANY,MANAGER MAXIMO SYSTEM,130000,130000,130000,1
ELI LILLY AND COMPANY,MANAGER SENIOR IT ANALYST LABS,130000,130000,130000,1
ELI LILLY AND COMPANY,LEAD – BUSINESS TECHNOLOGY ANALYST – CSV,128000,128000,128000,2
ELI LILLY AND COMPANY,MANAGER TECH AT LILLY,116000,116000,116000,1
ELI LILLY AND COMPANY,MANAGER IT,115632,115632,115632,1
ELI LILLY AND COMPANY,PRINCIPAL ENGINEER INDUSTRIAL PEC,115041,115041,115041,2
ELI LILLY AND COMPANY,SR ENGINEER AUTOMATION ENGINEERING,100000,100000,100000,1
ELI LILLY AND COMPANY,ASSOCIATE SCIENTIST II,85341,85341,85341,1
ELI LILLY AND COMPANY,POST DOCTORAL SCIENTIST HEALTH OUTCOMES,79000,79000,79000,1
