Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ERICSSON INC,DEVELOPER SOFTWARE ENGINEER,170340,170340,170340.0,1
ERICSSON INC,SOLUTION INTEGRATION AND TESTING ENGINEER,167149,167149,167149.0,1
ERICSSON INC,PRODUCT MANAGER,159381,159381,159381.0,1
ERICSSON INC,PRODUCT DEVELOPMENT LEADER SR PHYSICAL DESIGN ENGINEER,151590,151590,151590.0,1
ERICSSON INC,BASEBAND SOFTWARE DEVELOPER,137700,137700,137700.0,1
ERICSSON INC,SOLUTIONS ARCHITECT,119371,161320,137188.33333333334,3
ERICSSON INC,DEVELOPMENT LEAD,132000,132000,132000.0,1
ERICSSON INC,ASIC DEVELOPER,110822,110822,110822.0,1
ERICSSON INC,ENGINEER SERVICES RF,100195,124000,110759.75,4
ERICSSON INC,ANALYTICS SOLUTIONS DESIGNER,84000,123420,103710.0,2
ERICSSON INC,ENGINEER – SERVICES SOFTWARE INTEGRATION ENGINEER,100777,100777,100777.0,1
ERICSSON INC,DEVELOPER RF ANTENNA,91520,91520,91520.0,1
