Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
EXPERIAN INFORMATION SOLUTIONS INC,SVP GLOBAL ANALYTICS & AI SOLUTIONS,316000,316000,316000.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SR TECHNICAL PROGRAM MANAGER,180950,192000,188316.66666666666,3
EXPERIAN INFORMATION SOLUTIONS INC,DIRECTOR PROGRAM MANAGEMENT,178000,178000,178000.0,2
EXPERIAN INFORMATION SOLUTIONS INC,SYSTEMS SECURITY MANAGER,174537,174537,174537.0,1
EXPERIAN INFORMATION SOLUTIONS INC,LEAD PRIVILEGED ACCOUNT MANAGEMENT PAM ADMINISTRATOR,169280,169280,169280.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SENIOR STAFF ENGINEER,169000,169000,169000.0,1
EXPERIAN INFORMATION SOLUTIONS INC,DATABASE ADMINISTRATOR MANAGER TECHNICAL MANAGER,158037,158037,158037.0,1
EXPERIAN INFORMATION SOLUTIONS INC,STAFF ENGINEER,150000,150000,150000.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SENIOR SOFTWARE ENGINEER,146370,146370,146370.0,1
EXPERIAN INFORMATION SOLUTIONS INC,INFORMATION TECHNOLOGY & SYSTEMS MANAGER,138379,138379,138379.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SR SOFTWARE ENGINEER,131325,131325,131325.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SOFTWARE DEVELOPMENT STAFF ENGINEER,129533,129533,129533.0,1
EXPERIAN INFORMATION SOLUTIONS INC,CLIENT IMPLEMENTATION SPECIALIST LEAD,128235,128235,128235.0,1
EXPERIAN INFORMATION SOLUTIONS INC,SOFTWARE QA ANALYST EXPERT,128044,128044,128044.0,1
