Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
GOOGLE LLC,DIRECTOR PRODUCT MARKETING MANAGEMENT,375000,375000,375000.0,1
GOOGLE LLC,DIRECTOR MARKETING CREATIVE & PRODUCER,331000,331000,331000.0,1
GOOGLE LLC,UX DIRECTOR,324000,324000,324000.0,1
GOOGLE LLC,DIRECTOR PRODUCT MANAGEMENT,318000,318000,318000.0,1
GOOGLE LLC,PRODUCT MARKETING MANAGER,288000,288000,288000.0,1
GOOGLE LLC,SOFTWARE ENGINEERING MANAGER,256000,313000,276200.0,5
GOOGLE LLC,UX PROGRAMS & OPERATIONS MANAGER,273000,273000,273000.0,1
GOOGLE LLC,MONETIZATION MANAGER,272500,272500,272500.0,1
GOOGLE LLC,GROUP PRODUCT MANAGER,260000,277000,268500.0,2
GOOGLE LLC,ENGINEERING MANAGER,231000,290000,259250.0,4
GOOGLE LLC,SOFTWARE ENGINEER MANAGER,227000,275000,255000.0,4
GOOGLE LLC,POLICY SPECIALIST,250000,250000,250000.0,1
GOOGLE LLC,LOW POWER RTL DESIGN ENGINEER,246000,246000,246000.0,1
GOOGLE LLC,STAFF SOFTWARE ENGINEER,215000,255000,243400.0,5
GOOGLE LLC,PRODUCT STRATEGY LEAD,234000,234000,234000.0,1
GOOGLE LLC,SALES OPERATIONS MANAGER,230000,230000,230000.0,2
GOOGLE LLC,TRUST & SAFETY ANALYSIS,229000,229000,229000.0,1
GOOGLE LLC,PEOPLE ANALYTICS MANAGER,228000,228000,228000.0,1
GOOGLE LLC,MANAGER APPLICATION ENGINEER,223000,223000,223000.0,1
GOOGLE LLC,MANAGER TECHNICAL SOLUTIONS CONSULTANT,223000,223000,223000.0,1
GOOGLE LLC,RESEARCH ENGINEER,216000,230000,221333.33333333334,3
GOOGLE LLC,STAFF BUSINESS SYSTEMS ANALYST,220000,220000,220000.0,1
GOOGLE LLC,SENIOR TECHNICAL PROGRAM MANAGER,219000,219000,219000.0,1
GOOGLE LLC,FINANCE MANAGER,215000,215000,215000.0,1
GOOGLE LLC,ENGAGEMENT MANAGER FINANCIAL SERVICES,215000,215000,215000.0,1
GOOGLE LLC,ASIC PLATFORM SOFTWARE ARCHITECT,215000,215000,215000.0,1
GOOGLE LLC,SENIOR RESEARCH SCIENTIST,209000,220000,214500.0,2
GOOGLE LLC,TECHNICAL ACCOUNT MANAGER,212000,212000,212000.0,1
GOOGLE LLC,PHYSICAL DESIGN ENGINEER,210000,210000,210000.0,1
GOOGLE LLC,SENIOR SOFTWARE ENGINEER,178000,224000,207750.0,6
GOOGLE LLC,BUSINESS & MARKETING DATA SCIENTIST,172800,229000,200900.0,2
GOOGLE LLC,TECHNICAL PROGRAM MANAGER III,200036,200036,200036.0,1
GOOGLE LLC,BUSINESS AND MARKETING DATA SCIENTIST,200000,200000,200000.0,1
GOOGLE LLC,PRODUCT MANAGER,157000,270531,199806.5,24
GOOGLE LLC,SOFTWARE ENGINEER SITE RELIABILITY ENGINEER,183000,214000,198500.0,2
GOOGLE LLC,PARTNER SOLUTIONS SPECIALIST,197000,197000,197000.0,1
GOOGLE LLC,PRIVACY ENGINEER,196950,196950,196950.0,1
GOOGLE LLC,COMPUTATIONAL LINGUIST,196000,196000,196000.0,1
GOOGLE LLC,SOLUTIONS CONSULTANT BUSINESS DATA SCIENTIST,196000,196000,196000.0,1
GOOGLE LLC,STRATEGY AND OPERATIONS MANAGER,194000,194000,194000.0,1
GOOGLE LLC,SILICON ENGINEER,166000,215000,192333.33333333334,3
GOOGLE LLC,SECURITY ENGINEER,179000,212000,192250.0,8
GOOGLE LLC,RESEARCH SCIENTIST,181000,214000,192000.0,3
GOOGLE LLC,BUSINESS INTELLIGENCE ANALYST,190000,190000,190000.0,1
GOOGLE LLC,TECHNOLOGY SOLUTIONS MANAGER,190000,190000,190000.0,1
GOOGLE LLC,VISUAL DESIGNER,190000,190000,190000.0,1
GOOGLE LLC,UX DESIGNER,185000,193000,189000.0,2
GOOGLE LLC,SENIOR BUSINESS INTELLIGENCE ANALYST,187000,187000,187000.0,1
GOOGLE LLC,SOFTWARE ENGINEER,128000,296000,186923.34782608695,782
GOOGLE LLC,TEST ENGINEERING MANAGER,186000,186000,186000.0,1
GOOGLE LLC,STRATEGIC PARTNERSHIPS DEVELOPMENT,185000,185000,185000.0,1
GOOGLE LLC,TECHNICAL PROGRAM MANAGER FRONT END PLANNING,185000,185000,185000.0,1
GOOGLE LLC,INCENTIVE STRATEGY MANAGER,184000,184000,184000.0,1
GOOGLE LLC,SENIOR INTERACTION DESIGNER,184000,184000,184000.0,1
GOOGLE LLC,HARDWARE ENGINEER,163000,193500,183156.66666666666,6
GOOGLE LLC,DATA SCIENTIST,170000,196000,183127.77777777778,9
GOOGLE LLC,SENIOR SECURITY CONSULTANT,183000,183000,183000.0,1
GOOGLE LLC,SOFTWARE ENGINEE,181000,181000,181000.0,1
GOOGLE LLC,SYSTEMS ENGINEER SITE RELIABILITY,181000,181000,181000.0,1
GOOGLE LLC,TECHNICAL SOLUTIONS CONSULTANT,118000,247000,180927.94444444444,18
GOOGLE LLC,LEGAL SPECIALIST,180000,180000,180000.0,1
GOOGLE LLC,SOFTWARE ENGINEER SITE RELIABILITY ENGINEERING,179655,179655,179655.0,1
GOOGLE LLC,TECHNICAL PROGRAM MANAGER,135432,308000,179348.46153846153,13
GOOGLE LLC,BUSINESS SYSTEMS ANALYST,141000,222000,179263.75,8
GOOGLE LLC,SILICON PHYSICAL DESIGN ENGINEER,178000,178000,178000.0,1
GOOGLE LLC,BUSINESS OPERATIONS ASSOCIATE,177000,177000,177000.0,1
GOOGLE LLC,SOFTWARE ENGINEER SITE RELIABILITY,171000,181000,176000.0,2
GOOGLE LLC,INTERACTION DESIGNER,154000,192000,175440.0,10
GOOGLE LLC,PARTNER OPERATIONS MANAGER,175000,175000,175000.0,1
GOOGLE LLC,SENIOR PRODUCT ANALYST,175000,175000,175000.0,1
GOOGLE LLC,SALES OPERATIONS ASSOCIATE,150000,238000,174875.0,8
GOOGLE LLC,PROGRAM MANAGER,110000,224000,174057.0,43
GOOGLE LLC,SALES ENGINEER,174000,174000,174000.0,1
