Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
HUGHES NETWORK SYSTEMS LLC,SENIOR PRINCIPAL ENGINEER SOFTWARE,200340,200340,200340,1
HUGHES NETWORK SYSTEMS LLC,PRINCIPAL ENGINEER II DATA ANALYST,185000,185000,185000,1
HUGHES NETWORK SYSTEMS LLC,TECHNICAL PROGRAM MANAGER MOBILITY SERVICES,172000,172000,172000,1
HUGHES NETWORK SYSTEMS LLC,APPLICATION SOFTWARE DEVELOPER,150000,150000,150000,1
HUGHES NETWORK SYSTEMS LLC,SOFTWARE ENGINEER CONTENT & DOCUMENT MANAGEMENT,133722,133722,133722,1
HUGHES NETWORK SYSTEMS LLC,DATA ARCHITECT,131000,131000,131000,1
HUGHES NETWORK SYSTEMS LLC,ENGINEER VIDEO,113850,113850,113850,1
HUGHES NETWORK SYSTEMS LLC,MTS 3 HARDWARE,110924,110924,110924,1
HUGHES NETWORK SYSTEMS LLC,TECHNICAL PROGRAM MANAGER,106850,106850,106850,1
HUGHES NETWORK SYSTEMS LLC,ENGINEER III CUSTOMER NETWORKS,92700,92700,92700,1
HUGHES NETWORK SYSTEMS LLC,PRINCIPAL TAX ACCOUNTANT,76311,76311,76311,1
