Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
IMR SOFT LLC,SAP ABAP CONSULTANT,116000,116000,116000,1
IMR SOFT LLC,LIFERAY DEVELOPER,113500,113500,113500,1
IMR SOFT LLC,SOFTWARE DEVELOPER,100000,121500,111050,4
IMR SOFT LLC,CYBERARK ENGINEER,106000,106000,106000,1
IMR SOFT LLC,SOFTWARE DEVELOPER GENAI ENGINEER,105100,105100,105100,1
IMR SOFT LLC,SOFTWARE ENGINEER ABAP DEVELOPER,101500,101500,101500,1
IMR SOFT LLC,SERVICENOW DEVELOPER,101200,101200,101200,1
IMR SOFT LLC,REACT DEVELOPER,101200,101200,101200,1
IMR SOFT LLC,SAP SD CONSULTANT,101200,101200,101200,2
IMR SOFT LLC,DATA ENGINEER,100000,100000,100000,3
IMR SOFT LLC,HADOOP ADMINISTRATOR,95000,95000,95000,1
IMR SOFT LLC,PEX TESTER,95000,95000,95000,1
IMR SOFT LLC,WINDOWS ADMINISTRATOR,95000,95000,95000,1
IMR SOFT LLC,TEX TESTER,95000,95000,95000,1
IMR SOFT LLC,WORKDAY HUMAN RESOURCE MANAGEMENT,93500,93500,93500,1
IMR SOFT LLC,AZURE DATA ENGINEER,91500,91500,91500,1
IMR SOFT LLC,TEST ENGINEER,90000,90000,90000,1
IMR SOFT LLC,BUSINESS DATA ANALYST,89500,89500,89500,1
IMR SOFT LLC,JAVA DEVELOPER,82500,82500,82500,1
