Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
INCEDO INC,SENIOR PROJECT MANAGER,128960,128960,128960.0,1
INCEDO INC,SR TECHNICAL LEAD,120328,120328,120328.0,1
INCEDO INC,SR TECHNICAL SPECIALIST,106974,126693,120120.0,3
INCEDO INC,TECHNICAL MANAGER,115918,115918,115918.0,1
INCEDO INC,SR SOFTWARE ENGINEER,108597,108597,108597.0,1
INCEDO INC,TECHNICAL LEAD,76731,135221,105120.66666666667,9
INCEDO INC,SENIOR TECHNICAL LEAD,96886,116979,103583.66666666667,3
INCEDO INC,TECHNICAL SPECIALIST,81266,106974,96976.66666666667,3
INCEDO INC,ASSOCIATE DATA SCIENTIST,88566,88566,88566.0,1
INCEDO INC,VALIDATION ENGINEER,88483,88483,88483.0,1
INCEDO INC,TEST LEAD,79102,79102,79102.0,1
INCEDO INC,DATA SCIENTIST,64563,80850,72706.5,2
