Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
INFO SERVICES LLC,VP OF ARCHITECTURE,252000,252000,252000,1
INFO SERVICES LLC,SOLUTION ARCHITECT,172000,172000,172000,1
INFO SERVICES LLC,SR DATA ENGINEER,147680,147680,147680,1
INFO SERVICES LLC,SALESFORCE COE LEAD,140000,140000,140000,1
INFO SERVICES LLC,SR DATA ANALYST,135200,135200,135200,1
INFO SERVICES LLC,SOFTWARE ENGINEER,120000,120000,120000,1
INFO SERVICES LLC,APPLICATION DEVELOPER,120000,120000,120000,1
INFO SERVICES LLC,SENIOR QA ENGINEER,120000,120000,120000,1
INFO SERVICES LLC,ETL DEVELOPER,102877,102877,102877,1
INFO SERVICES LLC,TECHNICAL PROJECT MANAGER,90000,108000,99000,2
INFO SERVICES LLC,SALESFORCE DEVELOPER,91021,91021,91021,1
INFO SERVICES LLC,AUTOMATION ENGINEER,80000,95000,87500,2
