Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
INNOVA SOLUTIONS INC,SOFTWARE .NET DEVELOPER,169229,169229,169229.0,2
INNOVA SOLUTIONS INC,SENIOR DIRECTOR SOFTWARE ENGINEERING,139464,139464,139464.0,2
INNOVA SOLUTIONS INC,QA AUTOMATION ENGINEER,139360,139360,139360.0,1
INNOVA SOLUTIONS INC,LEAD OBSERVABILITY ENGINEER,135200,135200,135200.0,2
INNOVA SOLUTIONS INC,APPLICATION ARCHITECT PROGRAMMER SOFTWARE DEVELOPER,120640,141440,129480.0,8
INNOVA SOLUTIONS INC,SOFTWARE SPECIALIST DEVELOPER,127629,127629,127629.0,1
INNOVA SOLUTIONS INC,APPLICATION PROGRAMMER SOFTWARE DEVELOPER APPLICATION,126880,126880,126880.0,1
INNOVA SOLUTIONS INC,SOFTWARE DEVELOPER JAVA,126880,126880,126880.0,1
INNOVA SOLUTIONS INC,LEAD SOFTWARE ENGINEER,126880,126880,126880.0,1
INNOVA SOLUTIONS INC,IT SECURITY SPECIALIST III,126880,126880,126880.0,2
INNOVA SOLUTIONS INC,DATABASE ADMINISTRATOR,121909,121909,121909.0,2
INNOVA SOLUTIONS INC,SENIOR MANAGER QA,121285,121285,121285.0,1
INNOVA SOLUTIONS INC,PRINCIPLE SOFTWARE ENGINEER,120328,120328,120328.0,1
INNOVA SOLUTIONS INC,TECHNICAL LEAD,120058,120058,120058.0,1
INNOVA SOLUTIONS INC,SOFTWARE ENGINEER CORE JAVA DEVELOPER,118560,118560,118560.0,1
INNOVA SOLUTIONS INC,PEGA LEAD SYSTEM ARCHITECT,118560,118560,118560.0,1
INNOVA SOLUTIONS INC,SOFTWARE ENGINEER,115918,120328,118123.0,2
INNOVA SOLUTIONS INC,TECHNOLOGY LEAD,114400,115918,115159.0,2
INNOVA SOLUTIONS INC,MULESOFT DEVELOPER,114026,114026,114026.0,2
INNOVA SOLUTIONS INC,SOFTWARE DEVELOPER,89440,141440,113590.9,10
INNOVA SOLUTIONS INC,SENIOR BUSINESS ANALYST,111363,111363,111363.0,1
INNOVA SOLUTIONS INC,BUSINESS DEVELOPMENT MANAGER,110469,110469,110469.0,1
INNOVA SOLUTIONS INC,ANALYST DEVELOPER SPECIALTY 3,110136,110136,110136.0,1
INNOVA SOLUTIONS INC,DATA ENGINEER,108160,108160,108160.0,1
INNOVA SOLUTIONS INC,TECHNICAL PROJECT MANAGER,103730,114400,107286.66666666667,3
INNOVA SOLUTIONS INC,SENIOR SOFTWARE ENGINEER,102877,109678,106277.5,2
INNOVA SOLUTIONS INC,APP PROGRAMMER V FULL STACK JAVA DEV SOFT DEV APPS,106080,106080,106080.0,2
INNOVA SOLUTIONS INC,BUSINESS ANALYST,99840,108160,105386.66666666667,3
INNOVA SOLUTIONS INC,SAP DELIVERY MANAGER,103730,103730,103730.0,1
INNOVA SOLUTIONS INC,DEVOPS ENGINEER,102877,102877,102877.0,1
INNOVA SOLUTIONS INC,LEAD BUSINESS ANALYST,101046,101046,101046.0,1
INNOVA SOLUTIONS INC,PROGRAMMER ANALYST,86403,113651,100027.0,2
INNOVA SOLUTIONS INC,QA LEAD,99549,99549,99549.0,1
INNOVA SOLUTIONS INC,QUALITY ASSURANCE ENGINEER,97760,97760,97760.0,2
INNOVA SOLUTIONS INC,MID DEVELOPMENT ENGINEER,97760,97760,97760.0,1
INNOVA SOLUTIONS INC,QUALITY ASSURANCE SPECIALIST,97594,97594,97594.0,1
INNOVA SOLUTIONS INC,QUALITY ASSURANCE ANALYST,97406,97406,97406.0,1
INNOVA SOLUTIONS INC,TEST AUTOMATION SPECIALIST,95701,95701,95701.0,1
INNOVA SOLUTIONS INC,DEVELOPER,90522,98155,94338.5,2
INNOVA SOLUTIONS INC,IAM FORGEROCK ARCHITECT,93517,93517,93517.0,1
INNOVA SOLUTIONS INC,TOSCA QA ANALYST,86174,86174,86174.0,1
INNOVA SOLUTIONS INC,ORACLE PL SQL DEVELOPER ANALYST,85342,85342,85342.0,1
INNOVA SOLUTIONS INC,DEVELOPER ANALYST,80808,91562,82911.92307692308,13
INNOVA SOLUTIONS INC,WEBSPHERE APPLICATION SERVER WAS ADMINISTRATOR,78478,78478,78478.0,1
INNOVA SOLUTIONS INC,ASSOCIATE IT SERVICE MANAGER,76960,76960,76960.0,2
INNOVA SOLUTIONS INC,IT PROJECT MANAGER,46613,60154,53383.5,2
