Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
JEFFERIES LLC,BUSINESS ANALYST IT RISK,225000,225000,225000,1
JEFFERIES LLC,VICE PRESIDENT ION PRODUCTION SUPPORT,205000,205000,205000,1
JEFFERIES LLC,VICE PRESIDENT ELECTRONIC SALES TRADER,190000,190000,190000,2
JEFFERIES LLC,VICE PRESIDENT CLOUD ENGINEER,185000,185000,185000,1
JEFFERIES LLC,VICE PRESIDENT LEAD ANALYST,175000,175000,175000,1
JEFFERIES LLC,INVESTMENT BANKING ASSOCIATE,175000,175000,175000,1
JEFFERIES LLC,VICE PRESIDENT APPLICATION SUPPORT LEAD,170000,170000,170000,1
JEFFERIES LLC,ASSOCIATE,160000,160000,160000,1
JEFFERIES LLC,VICE PRESIDENT SMG NON AGENCY TRADING,160000,160000,160000,1
JEFFERIES LLC,CORPORATE ASSOCIATE,138000,138000,138000,2
JEFFERIES LLC,RESEARCH ASSOCIATE,115000,140000,127500,2
JEFFERIES LLC,BUSINESS MANAGER,123302,123302,123302,1
JEFFERIES LLC,INVESTMENT BANKING ANALYST,109000,115000,112000,2
JEFFERIES LLC,CORPORATE CREDIT ASSOCIATE,110000,110000,110000,1
