Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
JUNIPER NETWORKS US INC,TECHNICAL SUPPORT SR MANAGER,185129,185129,185129.0,1
JUNIPER NETWORKS US INC,SOLUTION CONSULTANT SR STAFF,170914,170914,170914.0,1
JUNIPER NETWORKS US INC,RESIDENT ENGINEER STAFF,143541,143541,143541.0,1
JUNIPER NETWORKS US INC,CONSULTING SALES ENGINEER,130770,130770,130770.0,1
JUNIPER NETWORKS US INC,SOLUTION CONSULTANT STAFF,125694,131144,128419.0,2
JUNIPER NETWORKS US INC,SENIOR SALES ENGINEER,122470,125195,123832.5,2
JUNIPER NETWORKS US INC,UX DESIGNER,115149,115149,115149.0,1
JUNIPER NETWORKS US INC,TECHNICAL SUPPORT ENGINEER,105914,128690,114519.5,8
JUNIPER NETWORKS US INC,TECHNICAL SUPPORT ENGINEER STAFF,114150,114150,114150.0,1
JUNIPER NETWORKS US INC,SALES ENGINEERING ASSOCIATE MANAGER,107453,107453,107453.0,1
JUNIPER NETWORKS US INC,RESIDENT ENGINEER,90854,90854,90854.0,1
JUNIPER NETWORKS US INC,BUSINESS OPERATIONS ANALYST,87152,87152,87152.0,1
JUNIPER NETWORKS US INC,SALES ENGINEER,83138,83138,83138.0,1
JUNIPER NETWORKS US INC,SE SPECIALIST,78711,78711,78711.0,1
