Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
KLA CORPORATION,DIRECTOR APPLICATIONS DEVELOPMENT,246699,246699,246699.0,1
KLA CORPORATION,MANAGER NPI SUPPLY CHAIN AND SOURCING,241500,241500,241500.0,1
KLA CORPORATION,ELECTRICAL DESIGN MANAGER,226332,226332,226332.0,1
KLA CORPORATION,SOFTWARE ENGINEERING MANAGER,226332,226332,226332.0,1
KLA CORPORATION,PRODUCT MARKETING MANAGER,197751,230000,209250.33333333334,3
KLA CORPORATION,SUPPLY CHAIN ENGINEER,190000,190000,190000.0,1
KLA CORPORATION,TECH PROGRAM PROJECT MANAGER,180000,180000,180000.0,1
KLA CORPORATION,OPTICAL ENGINEER,170000,170000,170000.0,2
KLA CORPORATION,PRODUCT DEVELOPMENT ENGINEER,158137,174269,166203.0,2
KLA CORPORATION,SOFTWARE ENGINEER,98645,190413,163168.0,10
KLA CORPORATION,BUSINESS DEVELOPMENT MANAGER,163160,163160,163160.0,1
KLA CORPORATION,DIVISION SALES MANAGER,163160,163160,163160.0,1
KLA CORPORATION,BUSINESS PROCESS ANALYST,145727,161330,153528.5,2
KLA CORPORATION,INFORMATION SYSTEMS ANALYST,120000,150000,135000.0,4
KLA CORPORATION,MECHANICAL DESIGN ENGINEER,127000,142140,134570.0,2
KLA CORPORATION,SENIOR ALGORITHM ENGINEER,133900,133900,133900.0,1
KLA CORPORATION,FIELD APPLICATIONS ENGINEER,133715,133715,133715.0,1
KLA CORPORATION,ALGORITHM ENGINEER,127500,133900,130700.0,2
KLA CORPORATION,HR BUSINESS PARTNER,127450,127450,127450.0,1
KLA CORPORATION,BUSINESS ANALYST,126915,126915,126915.0,1
KLA CORPORATION,ELECTRICAL DESIGN ENGINEER,108120,139687,120935.66666666667,3
