Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
L&T TECHNOLOGY SERVICES LIMITED,VICE PRESIDENT MEDIA & COMMUNICATION,265000,265000,265000.0,2
L&T TECHNOLOGY SERVICES LIMITED,SENIOR DELIVERY MANAGER,188000,188000,188000.0,1
L&T TECHNOLOGY SERVICES LIMITED,SENIOR BUSINESS DEVELOPMENT MANAGER,168000,168000,168000.0,2
L&T TECHNOLOGY SERVICES LIMITED,TEST AUTOMATION V&V ENGINEER,145000,145000,145000.0,1
L&T TECHNOLOGY SERVICES LIMITED,FIELD TEST ENGINEER,143000,143000,143000.0,2
L&T TECHNOLOGY SERVICES LIMITED,SENIOR ACCOUNT MANAGER,128000,128000,128000.0,1
L&T TECHNOLOGY SERVICES LIMITED,LEAD ELECTRICAL ENGINEER,126630,126630,126630.0,1
L&T TECHNOLOGY SERVICES LIMITED,TECHNICAL LEAD,117645,117645,117645.0,1
L&T TECHNOLOGY SERVICES LIMITED,SYSTEM ARCHITECT,115066,115066,115066.0,1
L&T TECHNOLOGY SERVICES LIMITED,SOFTWARE DEVELOPER SYSTEMS SOFTWARE,95104,126000,110552.0,2
L&T TECHNOLOGY SERVICES LIMITED,SEAT DESIGN ENGINEER,110000,110000,110000.0,1
L&T TECHNOLOGY SERVICES LIMITED,PROGRAM MANAGER,88338,118000,108084.5,4
L&T TECHNOLOGY SERVICES LIMITED,PROJECT MANAGER,90958,111280,102115.4,5
L&T TECHNOLOGY SERVICES LIMITED,SOFTWARE ENGINEER & TESTER,81099,121000,101049.5,2
L&T TECHNOLOGY SERVICES LIMITED,DATABASE ADMINISTRATOR,99000,99000,99000.0,1
L&T TECHNOLOGY SERVICES LIMITED,TEST ENGINEER,78000,132000,98531.88888888889,9
L&T TECHNOLOGY SERVICES LIMITED,SOFTWARE DEVELOPER,82130,113000,97086.0,15
L&T TECHNOLOGY SERVICES LIMITED,ELECTRIC DESIGN ENGINEER,96524,96524,96524.0,1
L&T TECHNOLOGY SERVICES LIMITED,CHEMICAL PROCESS ENGINEER,91000,99000,95000.0,2
L&T TECHNOLOGY SERVICES LIMITED,ELECTRONICS ENGINEER,89731,99715,93400.33333333333,3
L&T TECHNOLOGY SERVICES LIMITED,ELECTRICAL ENGINEER,83000,116085,93286.08333333333,12
L&T TECHNOLOGY SERVICES LIMITED,HARDWARE ENGINEER,82411,104000,93137.0,3
L&T TECHNOLOGY SERVICES LIMITED,CONTROLS ENGINEER,91622,92410,92016.0,2
L&T TECHNOLOGY SERVICES LIMITED,CHEMICAL ENGINEER,91000,91000,91000.0,1
L&T TECHNOLOGY SERVICES LIMITED,QUALITY ENGINEER,91000,91000,91000.0,1
L&T TECHNOLOGY SERVICES LIMITED,PURCHASING & PROCUREMENT MANAGER,90792,90792,90792.0,1
L&T TECHNOLOGY SERVICES LIMITED,VALIDATION TEST ENGINEER,90000,90000,90000.0,1
L&T TECHNOLOGY SERVICES LIMITED,INDUSTRIAL ENGINEER,77004,101000,88461.375,8
L&T TECHNOLOGY SERVICES LIMITED,SOFTWARE DEVELOPER APPLICATIONS,85309,91555,88432.0,2
L&T TECHNOLOGY SERVICES LIMITED,DESIGN ENGINEER,73000,101000,88109.53846153847,13
L&T TECHNOLOGY SERVICES LIMITED,TECHNICAL WRITER,88000,88000,88000.0,1
L&T TECHNOLOGY SERVICES LIMITED,DESIGN ANALYSIS ENGINEER,88000,88000,88000.0,1
L&T TECHNOLOGY SERVICES LIMITED,MECHANICAL ENGINEER,73882,95118,87948.5,10
L&T TECHNOLOGY SERVICES LIMITED,INFORMATION MANAGEMENT DOCUMENT ANALYST,86000,86000,86000.0,2
L&T TECHNOLOGY SERVICES LIMITED,STRUCTURAL DESIGN ANALYST,84198,84198,84198.0,2
L&T TECHNOLOGY SERVICES LIMITED,MANUFACTURING ENGINEER,80891,88000,83847.6,5
L&T TECHNOLOGY SERVICES LIMITED,PROJECT ENGINEER,82347,82347,82347.0,1
L&T TECHNOLOGY SERVICES LIMITED,MECHANICAL DESIGN ENGINEER,81000,81000,81000.0,1
L&T TECHNOLOGY SERVICES LIMITED,INDUSTRIAL DESIGNER,76000,91000,80333.33333333333,6
L&T TECHNOLOGY SERVICES LIMITED,INDUSTRIAL DESIGN ENGINEER,80000,80000,80000.0,1
L&T TECHNOLOGY SERVICES LIMITED,SYSTEM ADMINISTRATOR,80000,80000,80000.0,1
L&T TECHNOLOGY SERVICES LIMITED,SYSTEM TEST ENGINEER,76544,78000,77272.0,2
L&T TECHNOLOGY SERVICES LIMITED,SYSTEM ENGINEER,71531,77000,74265.5,2
L&T TECHNOLOGY SERVICES LIMITED,REGULATORY ANALYST DESIGN QUALITY,65000,65000,65000.0,1
L&T TECHNOLOGY SERVICES LIMITED,REGULATORY ANALYST,65000,65000,65000.0,1
