Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
LER TECHFORCE LLC,SENIOR OBD CONTROLS ENGINEER OSM,135000,135000,135000,1
LER TECHFORCE LLC,SENIOR EMBEDDED CONTROLS ENGINEER,105000,140000,122500,2
LER TECHFORCE LLC,SENIOR HARDWARE ENGINEER,117400,117400,117400,1
LER TECHFORCE LLC,SENIOR SOURCING SPECIALIST,108000,108000,108000,1
LER TECHFORCE LLC,PROJECT MANAGER ELECTRICAL ENGINEER,100000,100000,100000,1
LER TECHFORCE LLC,SENIOR SOFTWARE APPLICATION ENGINEER,96000,96000,96000,1
LER TECHFORCE LLC,SENIOR DATA ANALYST,93600,93600,93600,1
LER TECHFORCE LLC,SYSTEMS ENGINEER,91520,91520,91520,1
LER TECHFORCE LLC,COMMISSIONING ENGINEER,83200,83200,83200,1
LER TECHFORCE LLC,TEST ENGINEER,83200,83200,83200,1
