Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
LTIMINDTREE LIMITED,COMPUTER AND INFORMATION SYSTEMS MANAGER,143541,183414,173445.75,4
LTIMINDTREE LIMITED,SENIOR SPECIALIST – DATA ENGINEERING,160000,160000,160000.0,1
LTIMINDTREE LIMITED,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,139700,139700,139700.0,1
LTIMINDTREE LIMITED,SENIOR SPECIALIST – SOFTWARE ENGINEERING,133245,133245,133245.0,1
LTIMINDTREE LIMITED,SENIOR SPECIALIST PROGRAM & PROJECT MANAGEMENT,131144,131144,131144.0,1
LTIMINDTREE LIMITED,DATABASE ADMINISTRATORS,120000,140000,130000.0,3
LTIMINDTREE LIMITED,SENIOR MANAGER QUALITY ENGINEERING,125000,125000,125000.0,1
LTIMINDTREE LIMITED,SENIOR SPECIALIST SOFTWARE ENGINEERING,98301,140000,121909.2,5
LTIMINDTREE LIMITED,COMPUTER NETWORK SUPPORT SPECIALIST,121435,121435,121435.0,1
LTIMINDTREE LIMITED,ASSOCIATE PRINCIPAL CLOUD ENGINEERING,114026,128800,121413.0,2
LTIMINDTREE LIMITED,INFORMATION TECHNOLOGY PROJECT MANAGERS,106500,170140,121290.33333333333,21
LTIMINDTREE LIMITED,ASSOCIATE PRINCIPAL – ARCHITECTURE,119808,119808,119808.0,1
LTIMINDTREE LIMITED,SOFTWARE DEVELOPERS,89939,160152,118865.95918367348,49
LTIMINDTREE LIMITED,SPECIALIST – ARCHITECTURE,115918,115918,115918.0,1
LTIMINDTREE LIMITED,SPECIALIST QUALITY ENGINEERING,115000,115000,115000.0,1
LTIMINDTREE LIMITED,SENIOR MANAGER CLOUD ENGINEERING,115000,115000,115000.0,1
LTIMINDTREE LIMITED,OPERATIONS RESEARCH ANALYSTS,110000,121800,115000.0,4
LTIMINDTREE LIMITED,SENIOR SPECIALIST CYBERSECURITY,114795,114795,114795.0,1
LTIMINDTREE LIMITED,COMPUTER SYSTEMS ANALYSTS,99300,131625,114204.13043478261,23
LTIMINDTREE LIMITED,SENIOR SPECIALIST PRODUCT ENGINEERING,112986,112986,112986.0,1
LTIMINDTREE LIMITED,MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,112300,112300,112300.0,1
LTIMINDTREE LIMITED,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,93900,135000,111350.0,4
LTIMINDTREE LIMITED,SENIOR SPECIALIST – QUALITY ENGINEERING,110000,110000,110000.0,1
LTIMINDTREE LIMITED,COMPUTER SYSTEMS ENGINEERS ARCHITECTS,86653,160000,108205.70588235294,17
LTIMINDTREE LIMITED,SENIOR SPECIALIST – PACKAGE IMPLEMENTATION,96866,121222,106939.66666666667,3
LTIMINDTREE LIMITED,COMPUTER NETWORK ARCHITECT,91042,118539,106835.66666666667,3
LTIMINDTREE LIMITED,SENIOR SPECIALIST DATA ENGINEERING,75816,145000,106323.66666666667,3
LTIMINDTREE LIMITED,SOFTWARE DEVELOPER,69888,184662,106006.07352941176,68
LTIMINDTREE LIMITED,SPECIALIST SOFTWARE ENGINEERING,86050,132000,105651.16666666667,6
