Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR PYTHON DEVELOPER,116251,116251,116251.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,APPLICATION SUPPORT AND DEVELOPMENT,116251,116251,116251.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR CLOUD ENGINEER,114400,114400,114400.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVELOPER II SOFTWARE DEVEPOPER,114400,114400,114400.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVELOPER II SOFTWARE DEVELPOR,114400,114400,114400.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SALESFORCE DEVELOPER,106205,106205,106205.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SYSTEM ENGINEER,104291,104291,104291.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ANDROID DEVELOPER,76898,116418,100651.5,4
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE ENGINEER,67995,208000,98751.46666666666,15
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR SOFTWARE DEVELOPER,97760,97760,97760.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR DEVELOPER,97760,97760,97760.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR IT ENGINEER,97760,97760,97760.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR NETWORK SECURITY ENGINEER,97302,97302,97302.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,TABALUE CONTRACTER,92622,98622,95622.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA SR ANALYST,95555,95555,95555.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR BUSINESS ANALYST,93850,95555,94986.66666666667,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOLAR ENERGY SYSTEMS ENGINEER,93642,93642,93642.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOLAR ENERGY SYSTEM ENGINEER,93642,93642,93642.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,MOBILE SOFTWARE DEVELOPER,93309,93309,93309.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ERP PROJECT MANAGER,93184,93184,93184.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ANGULAR DEVELOPER,93142,93142,93142.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,IT SECURITY ANALYST,92893,92893,92893.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,JAVA DEVELOPER,64064,116251,92665.25,16
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ERP DEVELOPER 3,92622,92622,92622.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ORACLE DATABASE ADMINISTRATOR,91978,91978,91978.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ORACLE DATA BASE ADMINISTRATOR,91978,91978,91978.0,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVOPS ENGINEER,63877,116251,91804.33333333333,12
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BIG DATA ENGINEER,78021,104291,91156.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,APPLICATION DEVELOPER,77189,97760,90903.0,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,FULL STACK DEVELOPER,76898,104291,90594.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVOPS AND CLOUD ENGINEER,78998,94515,86756.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PROGRAMMER ANALYST,86216,86216,86216.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ANDROID ENGINEER,85550,85550,85550.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,AVC ENGINEER,69909,92539,84995.66666666667,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,REACT DEVELOPER,74568,104291,84531.0,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA ENGINEER,53830,139880,84104.85714285714,14
MACHINE INTELLIGENCE TECHNOLOGIES LLC,STERLING JAVA DEVELOPER,72883,93142,83012.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,NETWORK ENGINEER,75795,89648,82721.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA WAREHOUSE ANALYST LEVEL 5,82472,82472,82472.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR QUALITY ASSURANCE ANALYST TESTING,82472,82472,82472.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,JUNIOR PROJECT COORDINATOR,82472,82472,82472.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,IT PROJECT MANAGER,82472,82472,82472.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BI TABLEAU ENGINEER,80850,80850,80850.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA BASE ADMINISTRATOR,80725,80725,80725.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE QA ENGINEER,75795,85550,80672.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR BIG DATA ENGINEER,79955,79955,79955.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SAP PRODUCTION PLANNING CONSULTANT,79955,79955,79955.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR BACKEND SOFTWARE ENGINEER,79955,79955,79955.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR DEVSECOPS ENGINEER,79914,79914,79914.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,REACT FRONT END DEVELOPER,79914,79914,79914.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SALESFORCE ADMINISTRATOR,79914,79914,79914.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE DEVELOPER,65562,92539,78258.64285714286,14
MACHINE INTELLIGENCE TECHNOLOGIES LLC,MOBILE DEVELOPER,77626,77626,77626.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PERFORMANCE TEST ENGINEER,77189,77189,77189.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PRODUCT DEVELOPMENT QA,77189,77189,77189.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE ENGINEER CLOUD,76898,76898,76898.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,UI DEVELOPER,76898,76898,76898.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE QUALITY ENGINEER I,76898,76898,76898.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE APPLICATION DEVELOPER,76898,76898,76898.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,REACT NATIVE DEVELOPER,76898,76898,76898.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,APPLCATION DEVELOPER JAVA AND WEB TECHNOLOGIES,76898,76898,76898.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BIG DATA DEVELOPER,69410,88171,75920.0,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,APPLICATION DEVELOPER JR JAVA FULL STACK,75795,75795,75795.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,APPLICATION SYSTEM ENGINEER CLOUD,75795,75795,75795.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,JAVA APPLICATION DEVELOPER,75795,75795,75795.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVOPS & CLOUD ENGINEER,75795,75795,75795.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,IT SYSTEMS ENGINEER,75691,75691,75691.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DEVOPS & CLOUDENGINEER,75691,75691,75691.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,COMPUTER SYSTEMS ENGINEER,75691,75691,75691.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PRODUCT DEVELOPER SCIENTIST,75587,75587,75587.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SOFTWARE VERIFICATION ENGINEER,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QA ENGINEER,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,FULL STACK ENGINEER,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BIG DATA SNOWFLAKE DEVELOPER,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ROBOTICS NPI ENGINEER,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,TABLEAU CONSULTANT,72883,72883,72883.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS INTELLIGENCE ANALYST,72696,72696,72696.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PYTHON DEVELOPER,67746,76898,72322.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,COMPUTER NETWORK ARCHITECTS,72134,72134,72134.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,JAVA FULLSTACK DEVELOPER,63570,79914,72122.33333333333,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,EMBEDDED TEST ENGINEER PYTHON,70491,70491,70491.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ORACLE PL SQL DEVELOPER,69909,69909,69909.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,PROJECT MANAGER,69826,69826,69826.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,IOS DEVELOPER,69742,69742,69742.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ETL DEVELOPER,69742,69742,69742.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATABASE ADMINISTRATION,69139,69139,69139.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,MECHANICAL DESIGN ENGINEER,59883,73174,68743.66666666667,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SFDC QA,67995,67995,67995.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,MICROSOFT DYNAMICS DEVELOPER,67995,67995,67995.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QA AUTOMATION ENGINEER,67995,67995,67995.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SAS ADMIN ENGINEER,65998,69742,67870.0,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SYSTEM ANALYST TECHNICAL,67475,67475,67475.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR SITECORE DEVELOPER,66934,66934,66934.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,HADOOP DEVELOPER,66061,66061,66061.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR PROJECT DESIGNER,65915,65915,65915.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS ANALYST,42890,116418,65700.9375,16
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA ANALYST,42890,103771,65385.818181818184,11
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SENIOR QA ANALYST,45282,74464,64736.666666666664,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA SCIENTIST,54891,77397,64688.0,7
MACHINE INTELLIGENCE TECHNOLOGIES LLC,COMPUTER SYSTEMS ANALYST BUSINESS SOLUTIONS ANALYST,64106,64106,64106.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,INDUSTRIAL ENGINEER,62046,65187,63616.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,VALIDATION ENGINEER CONSULTANT,63066,63066,63066.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,AWS DEVOPS ENGINEER,63066,63066,63066.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,FISERV,63066,63066,63066.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,LEAD PHP DEVELOPER,62462,62462,62462.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,FULL STACK JAVA DEVELOPER,61859,61859,61859.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,ORDER FULFILLMENT SPECIALIST III,58427,65146,61786.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS SYSTEM ANALYST,54891,68245,60257.666666666664,3
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR AUTOMATION QA ENGINEER,60216,60216,60216.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QUALITY SPECIALIST,60000,60000,60000.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATABASE ADMINISTRATOR,59675,59675,59675.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SYSTEM TEST ENGINEER,58178,58178,58178.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,WEB ADMINISTRATORS,58178,58178,58178.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS INTELLIGENCE SPECIALIST,58178,58178,58178.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS ANALYST EXPERT,58178,58178,58178.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,BUSINESS PROCESS ANALYST,58094,58094,58094.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,RPA DEVELOPER,56701,56701,56701.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QA LEAD,54891,54891,54891.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA ANALYSTNETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,53997,53997,53997.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DATA INGESTION ANALYST,53726,53726,53726.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,COMPUTER SYSTEMS ANALYST,52645,52645,52645.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QUALITY ENGINEER,50107,53830,51968.5,2
MACHINE INTELLIGENCE TECHNOLOGIES LLC,INFRASTRUCTURE TECHNICAL CONSULTING,50107,50107,50107.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,STATISTICIANS,48755,48755,48755.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,OPERATIONS RESEARCH ANALYST,48526,48526,48526.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,LOGISTICS SUPERVISOR,47923,47923,47923.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,QUALITY ANALYST,45302,45302,45302.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,DESIGNER,44658,44658,44658.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,REGULATORY COMPLIANCE ANALYST,43680,43680,43680.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,IT BUSINESS ANALYST,38958,38958,38958.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,SR ENGINEERING TECHNICAL RECRUITER,38438,38438,38438.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,COMPUTER PROGRAMMERS,35277,35277,35277.0,1
MACHINE INTELLIGENCE TECHNOLOGIES LLC,CONNECTED SERVICES SOFTWARE TESTER,25230,25230,25230.0,1
