Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
MARLABS LLC,SENIOR DIRECTOR INFOR PRACTICE,181300,181300,181300.0,1
MARLABS LLC,SENIOR ARCHITECT,124100,124100,124100.0,1
MARLABS LLC,ASSOCIATE DIRECTOR – COE & CAMPUS HIRING,107400,107400,107400.0,1
MARLABS LLC,SOFTWARE APPLICATION DEVELOPER,78800,116000,104127.27272727272,11
MARLABS LLC,IT SYSTEMS ANALYST,89400,115900,100266.66666666667,3
MARLABS LLC,UI DEVELOPER,90600,109300,97100.0,4
MARLABS LLC,JAVA J2EE DEVELOPER,79400,116000,95850.0,8
MARLABS LLC,ASP .NET DEVELOPER,95800,95800,95800.0,1
MARLABS LLC,SOFTWARE ENGINEER,85600,101500,93550.0,2
MARLABS LLC,SR FINANCIAL ANALYST,91000,91000,91000.0,1
MARLABS LLC,QUALITY ASSURANCE ANALYST,81400,99600,90500.0,2
MARLABS LLC,DATABASE ANALYST,83800,93300,88550.0,2
MARLABS LLC,BIG DATA ENGINEER,84500,84500,84500.0,1
MARLABS LLC,SENIOR TECHNICAL RECRUITER,82600,82600,82600.0,1
MARLABS LLC,ORACLE DBA,81900,81900,81900.0,1
MARLABS LLC,PROGRAMMER ANALYST,62300,96900,81361.53846153847,13
MARLABS LLC,SOFTWARE ARCHITECT,75200,75200,75200.0,1
MARLABS LLC,TECHNICAL RECRUITER,65800,65800,65800.0,1
