Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
MARRIOTT INTERNATIONAL INC,ENTERPRISE ARCHITECT,201930,201930,201930.0,1
MARRIOTT INTERNATIONAL INC,DIRECTOR IT APPLICATION DEVELOPMENT,180000,180000,180000.0,1
MARRIOTT INTERNATIONAL INC,DIRECTOR SOFTWARE ENGINEERING,180000,180000,180000.0,1
MARRIOTT INTERNATIONAL INC,DIRECTOR PLATFORM ENGINEERING,169950,180000,174975.0,2
MARRIOTT INTERNATIONAL INC,DIRECTOR SOFTWARE ENGINEERING – TECHNOLOGY INTEGRATION,170000,170000,170000.0,1
MARRIOTT INTERNATIONAL INC,SOLUTION ARCHITECT – DATA,170000,170000,170000.0,1
MARRIOTT INTERNATIONAL INC,SENIOR SOFTWARE ENGINEER,155000,166134,162044.66666666666,3
MARRIOTT INTERNATIONAL INC,SENIOR SOFTWARE ENGINEER – TECHNOLOGY INTEGRATION,160000,160000,160000.0,1
MARRIOTT INTERNATIONAL INC,SENIOR MANAGER ORACLE CLOUD SYSTEMS,160000,160000,160000.0,1
MARRIOTT INTERNATIONAL INC,SENIOR QUALITY ENGINEER,155000,155000,155000.0,1
MARRIOTT INTERNATIONAL INC,SYSTEMS ANALYST – INCIDENT MANAGEMENT,142562,142562,142562.0,1
MARRIOTT INTERNATIONAL INC,SENIOR DATA SCIENTIST,139779,139779,139779.0,2
MARRIOTT INTERNATIONAL INC,SENIOR BUSINESS SYSTEMS ANALYST – DATA PLATFORMS,130667,130667,130667.0,1
MARRIOTT INTERNATIONAL INC,SENIOR BUSINESS SYSTEMS ANALYST,129551,129551,129551.0,1
MARRIOTT INTERNATIONAL INC,DATA SCIENTIST,95784,95784,95784.0,1
