Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
MOTOROLA SOLUTIONS INC,SR MGR SYSTEMS ENGINEERING,162707,162707,162707,1
MOTOROLA SOLUTIONS INC,PROF IT BUSINESS SYSTS ANLS SR AAS,161013,161013,161013,1
MOTOROLA SOLUTIONS INC,PRODUCT MANAGEMENT CONSULTANT,146910,146910,146910,1
MOTOROLA SOLUTIONS INC,SENIOR SOFTWARE ENGINEER,140889,140889,140889,1
MOTOROLA SOLUTIONS INC,PRINCIPAL SOFTWARE ENGINEER,123614,142002,132808,2
MOTOROLA SOLUTIONS INC,PROF IT SOFTWARE AAR,123614,123614,123614,1
MOTOROLA SOLUTIONS INC,SR SOFTWARE ENGINEER,123614,123614,123614,1
MOTOROLA SOLUTIONS INC,SOFTWARE ENGINEER,98096,98096,98096,1
MOTOROLA SOLUTIONS INC,DEVOPS ENGINEER NETWORKS,94182,94182,94182,1
MOTOROLA SOLUTIONS INC,PROF IT BUSINESS SYSTS ANLS AAQ,82500,82500,82500,1
