Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
MOVE INC,SOFTWARE APPLICATIONS DEVELOPER PRINCIPAL,310000,310000,310000,1
MOVE INC,PRINCIPAL ENGINEER,300000,300000,300000,1
MOVE INC,MANAGER SOFTWARE APPLICATION DEVELOPMENT,207000,207000,207000,1
MOVE INC,SR STAFF SOFTWARE ENGINEER,183700,183700,183700,2
MOVE INC,SR SOFTWARE ENGINEER,179025,179025,179025,1
MOVE INC,SOFTWARE ENGINEER STAFF MOBILE,155300,155300,155300,1
MOVE INC,STAFF SOFTWARE ENGINEER,155300,155300,155300,1
MOVE INC,STAFF SOFTWARE APPLICATION DEVELOPER,143100,143100,143100,1
MOVE INC,SOFTWARE ENGINEER,135283,135283,135283,2
MOVE INC,SR SOFTWARE ENGINEER MOBILE,135100,135100,135100,1
MOVE INC,SOFTWARE ENGINEER SR,135100,135100,135100,1
MOVE INC,SR SOFTWARE QA ENGINEER,134531,134531,134531,1
MOVE INC,DATA SCIENTIST,130000,130000,130000,2
MOVE INC,SOFTWARE ENGINEER ASSOCIATE,92900,92900,92900,1
