Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
NATERA INC,SENIOR SALESFORCE ENGINEER,147368,147368,147368,1
NATERA INC,SENIOR UX DESIGNER ENTERPRISE APPLICATIONS,147368,147368,147368,1
NATERA INC,REIMBURSEMENT MANAGER,138341,138341,138341,1
NATERA INC,SENIOR SCIENTIST R&D MOLECULAR BIOLOGY RESEARCH,136939,136939,136939,1
NATERA INC,SENIOR DATA WAREHOUSE ENGINEER,130998,130998,130998,2
NATERA INC,MANAGER ENGINEERING PROJECT MANAGEMENT,128960,128960,128960,1
NATERA INC,SOFTWARE SUPPORT ENGINEER III,127092,127092,127092,1
NATERA INC,SENIOR REGULATORY AFFAIRS SPECIALIST,114650,114650,114650,1
NATERA INC,DIRECTOR SALES OPERATIONS,107827,107827,107827,1
NATERA INC,PRODUCT DESIGNER,104936,104936,104936,1
NATERA INC,SALESFORCE LIGHTNING DEVELOPER,103272,103272,103272,1
NATERA INC,ASSOCIATE SCIENTIST IVD PRODUCT DEVELOPMENT,101816,101816,101816,1
NATERA INC,CLINICAL LAB SCIENTIST 2,92414,92414,92414,2
NATERA INC,SENIOR PRODUCT MANAGER DATA AND INSIGHTS,91000,91000,91000,1
