Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
NAVY FEDERAL CREDIT UNION,DIGITAL ENGINEER IV,180000,180000,180000,1
NAVY FEDERAL CREDIT UNION,ISD ENGINEER IV – ID & ACCESSMGMT,170000,170000,170000,1
NAVY FEDERAL CREDIT UNION,ISD ENGINEER IV ID & ACCESSMGMT,162232,162232,162232,1
NAVY FEDERAL CREDIT UNION,ETS ENGINEER III ID & ACCESS MANAGEMENT,160000,160000,160000,1
NAVY FEDERAL CREDIT UNION,ISD DEVELOPER IV – CLOUD DEVELOPMENT,152800,152800,152800,1
NAVY FEDERAL CREDIT UNION,ETS ENGINEER IV,145000,155000,150000,2
NAVY FEDERAL CREDIT UNION,ISD DEVELOPER IV,145000,147500,146250,2
NAVY FEDERAL CREDIT UNION,ETS DEVELOPER IV – CLOUD DEVELOPER,137000,137000,137000,1
NAVY FEDERAL CREDIT UNION,ISD ENGINEER III,132000,132000,132000,1
NAVY FEDERAL CREDIT UNION,BUSINESS SYSTEMS ANALYST II,120016,120016,120016,1
NAVY FEDERAL CREDIT UNION,BUSINESS INTELLIGENCE ANALYST I,110000,110000,110000,1
