Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
NTESS LLC,SENIOR R&D SCIENTIST CIVIL ENGINEERING MECHANICS,149700,149700,149700,1
NTESS LLC,SENIOR R&D GEOPHYSICS ENGINEER,147600,147600,147600,2
NTESS LLC,SENIOR R&D GEOSCIENCES ENGINEER,143800,143800,143800,1
NTESS LLC,SR R&D ELECTRICAL ENGINEER,138000,138000,138000,1
NTESS LLC,SR R&D SCIENTIST MATERIALS SCI COMPUTATIONAL MECHANICAL ENG,135300,135300,135300,1
NTESS LLC,POSTDOCTORAL APPOINTEE CORRELATED OXIDE DEVICE PHYSICS,104900,104900,104900,1
NTESS LLC,POSTDOCTORAL APPOINTEE NANOPHOTONICS,95500,95500,95500,1
NTESS LLC,POSTDOCTORAL APPOINTEE NONLINEAR OPTICAL METASURFACES,95500,95500,95500,1
NTESS LLC,POSTDOCTORAL APPOINTEE CONCENTRATING SOLAR,95500,95500,95500,1
NTESS LLC,POSTDOCTORAL APPOINTEE AMO MATERIALS SCIENTIST,95500,95500,95500,1
NTESS LLC,POSTDOCTORAL APPOINTEE BIOMEDICAL ENGINEERING,90000,90000,90000,1
