Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
PELOTON INTERACTIVE INC,SENIOR ENGINEERING MANAGER MARKETING TECHNOLOGY,233107,233107,233107,1
PELOTON INTERACTIVE INC,SENIOR SOFTWARE ENGINEER,227250,232522,229886,2
PELOTON INTERACTIVE INC,SR MANAGER CYBER DEFENSE,223018,223018,223018,1
PELOTON INTERACTIVE INC,SENIOR SOFTWARE ENGINEER OS FRAMEWORK,159370,234062,196716,2
PELOTON INTERACTIVE INC,SR MANAGER FINANCIAL REPORTING SPECIAL PROJECTS,182042,182042,182042,1
PELOTON INTERACTIVE INC,SENIOR ANALYTICS ENGINEER,179513,179513,179513,1
PELOTON INTERACTIVE INC,DIRECTOR DIGITAL SECURITY,170914,170914,170914,1
PELOTON INTERACTIVE INC,SR MANAGER CYBER SECURITY,164570,164570,164570,1
PELOTON INTERACTIVE INC,SENIOR ANALYST,162225,162225,162225,1
PELOTON INTERACTIVE INC,ANDROID ENGINEER,159370,159370,159370,1
PELOTON INTERACTIVE INC,SENIOR DATA ANALYST,135782,135782,135782,1
PELOTON INTERACTIVE INC,SENIOR MARKETING DATA SCIENTIST CRM & GOVERNANCE,135782,135782,135782,1
PELOTON INTERACTIVE INC,PRODUCT DESIGNER,133128,133128,133128,1
PELOTON INTERACTIVE INC,DATA ENGINEER,117749,117749,117749,1
PELOTON INTERACTIVE INC,STAFF PRODUCT QUALITY MANAGER,117624,117624,117624,2
PELOTON INTERACTIVE INC,SENIOR TECHNICAL PROGRAM MANAGER,114400,114400,114400,1
PELOTON INTERACTIVE INC,NETWORK ENGINEER,77667,77667,77667,1
