Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
PROCORE TECHNOLOGIES INC,STAFF SITE RELIABILITY ENGINEER,196853,196853,196853.0,1
PROCORE TECHNOLOGIES INC,DIRECTOR OF PRODUCT PLATFORM FLEXIBILITY,188760,188760,188760.0,1
PROCORE TECHNOLOGIES INC,MANAGER DESIGN,182645,182645,182645.0,1
PROCORE TECHNOLOGIES INC,SENIOR SOFTWARE ENGINEER INTEGRATIONS,152387,152387,152387.0,1
PROCORE TECHNOLOGIES INC,SENIOR SOFTWARE ENGINEER,151986,151986,151986.0,1
PROCORE TECHNOLOGIES INC,PRODUCT MANAGER 3,149406,149406,149406.0,1
PROCORE TECHNOLOGIES INC,SENIOR QA ENGINEER,140005,140005,140005.0,1
PROCORE TECHNOLOGIES INC,SENIOR DATA RELIABILITY ENGINEER,127317,127317,127317.0,1
PROCORE TECHNOLOGIES INC,SENIOR SITE RELIABILITY ENGINEER,126800,126800,126800.0,1
PROCORE TECHNOLOGIES INC,SENIOR DATA ENGINEER STREAMING PLATFORM,126800,126800,126800.0,1
PROCORE TECHNOLOGIES INC,SENIOR REVENUE INSIGHTS ANALYST,111391,135782,123586.5,2
