Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
PROPHECY CONSULTING INC,SENIOR SOFTWARE ENGINEER,123614,123614,123614,1
PROPHECY CONSULTING INC,SOFTWARE DEVELOPMENT ENGINEER IN TEST SDET,111996,111996,111996,1
PROPHECY CONSULTING,SENIOR SOFTWARE ENGINEER,105000,105000,105000,4
PROPHECY CONSULTING INC,JAVA ARCHITECT,101192,101192,101192,1
PROPHECY CONSULTING,DEVOPS ENGINEER,100000,100000,100000,1
PROPHECY CONSULTING INC,SCRUM MASTER BUSINESS ANALYST,93330,93330,93330,1
PROPHECY CONSULTING,SOFTWARE DEVELOPMENT ENGINEER IN TEST,93000,93000,93000,1
PROPHECY CONSULTING INC,SENIOR JAVA DEVELOPER,92539,92539,92539,1
PROPHECY CONSULTING INC,TECHNICAL PROJECT MANAGER,76586,76586,76586,1
PROPHECY CONSULTING INC,ETL TESTING ENGINEER,75566,75566,75566,1
