Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
QUEST GLOBAL SERVICES NA INC,DIRECTOR,165000,165000,165000,1
QUEST GLOBAL SERVICES NA INC,TECHNICAL MANAGER,82000,150000,116000,2
QUEST GLOBAL SERVICES NA INC,SENIOR ENGINEER,110000,110000,110000,2
QUEST GLOBAL SERVICES NA INC,SENIOR GAS TURBINE CONTROLS ENGINEER,99086,99086,99086,1
QUEST GLOBAL SERVICES NA INC,SENIOR TECHNICAL ARCHITECT,98239,98239,98239,1
QUEST GLOBAL SERVICES NA INC,SENIOR SOFTWARE ENGINEER,93000,100000,96500,2
QUEST GLOBAL SERVICES NA INC,LEAD ENGINEER,73000,105000,89000,2
QUEST GLOBAL SERVICES NA INC,SOFTWARE ENGINEER,82056,96500,85762,4
QUEST GLOBAL SERVICES NA INC,SENIOR LEAD ENGINEER,84500,84500,84500,1
QUEST GLOBAL SERVICES NA INC,MECHANICAL ENGINEER,65000,65000,65000,1
