Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
RENESAS ELECTRONICS AMERICA INC,SR PRINCIPAL ENGINEER PRODUCT MARKETING,232056,232056,232056,1
RENESAS ELECTRONICS AMERICA INC,AI STAFF SOFTWARE ENGINEER,225000,225000,225000,1
RENESAS ELECTRONICS AMERICA INC,SENIOR STAFF AI SOFTWARE ENGINEER,220000,220000,220000,1
RENESAS ELECTRONICS AMERICA INC,AI STAFF COMPILER ENGINEER,208000,208000,208000,1
RENESAS ELECTRONICS AMERICA INC,SR STAFF FIELD APPLICATIONS ENGINEER,190000,190000,190000,1
RENESAS ELECTRONICS AMERICA INC,STAFF BUSINESS ANALYST OPERATIONS RESEARCH ANALYST,165000,165000,165000,1
RENESAS ELECTRONICS AMERICA INC,STAFF BUSINESS ANALYST,165000,165000,165000,1
RENESAS ELECTRONICS AMERICA INC,STAFF ELECTRICAL ENGINEER,160000,160000,160000,1
RENESAS ELECTRONICS AMERICA INC,STAFF APPLICATION ENGINEER,153615,153615,153615,1
RENESAS ELECTRONICS AMERICA INC,STAFF PROJECT PROGRAM MANAGEMENT SPECIALIST,135408,135408,135408,1
RENESAS ELECTRONICS AMERICA INC,SR FIELD APPLICATIONS ENGINEER,134714,134714,134714,1
RENESAS ELECTRONICS AMERICA INC,APPLICATIONS ENGINEER,112786,112786,112786,1
RENESAS ELECTRONICS AMERICA INC,AI ENGINEER,105000,105000,105000,1
RENESAS ELECTRONICS AMERICA INC,VALIDATION ENGINEER,93000,93000,93000,3
