Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
SAPIENT CORPORATION,DIRECTOR DATA ENGINEERING,210000,210000,210000.0,1
SAPIENT CORPORATION,SENIOR MANAGER TECHNOLOGY,189176,189176,189176.0,1
SAPIENT CORPORATION,SENIOR PRODUCT MANAGER,176476,176800,176638.0,2
SAPIENT CORPORATION,SPECIALIST PLATFORM,163724,182000,172862.0,2
SAPIENT CORPORATION,MANAGER EXPERIENCE ENGINEERING,170330,170330,170330.0,1
SAPIENT CORPORATION,MANAGER DATA ENGINEERING,160000,160000,160000.0,1
SAPIENT CORPORATION,ARCHITECT,144507,185000,159884.6,5
SAPIENT CORPORATION,SENIOR ASSOCIATE TECHNOLOGY L2,156289,156289,156289.0,1
SAPIENT CORPORATION,SENIOR EXPERIENCE ENGINEER,140000,140000,140000.0,1
SAPIENT CORPORATION,SENIOR ASSOCIATE DATA ENGINEERING L1,134400,134400,134400.0,1
SAPIENT CORPORATION,SENIOR ASSOCIATE TECHNOLOGY L1,120000,139986,131982.0,3
SAPIENT CORPORATION,SENIOR ASSOCIATE DATA ENGINEERING L2,118000,137000,127500.0,2
SAPIENT CORPORATION,SENIOR QUALITY ENGINEER L2,123178,125801,124052.33333333333,3
SAPIENT CORPORATION,SENIOR ENGINEER L1,110258,110258,110258.0,1
