Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
STANFORD HEALTH CARE,SR MGR INFORMATICS EDUCATION,174491,174491,174491,1
STANFORD HEALTH CARE,SR DATA ENGINEER,164632,164632,164632,1
STANFORD HEALTH CARE,CLIN LAB SCIENTIST STAFF,134412,134412,134412,1
STANFORD HEALTH CARE,PRIN CLINICAL SYSTEMS ANALYST,134204,134204,134204,1
STANFORD HEALTH CARE,BUSINESS SENIOR SYSTEMS ANALYST I,121264,121264,121264,1
STANFORD HEALTH CARE,REPORTING ANALYST,118186,118186,118186,1
STANFORD HEALTH CARE,BUSINESS REPORTING ANALYST,106308,106308,106308,1
STANFORD HEALTH CARE,STANFORD VASCULAR NEUROLOGY FELLOWSHIP,93953,93953,93953,1
STANFORD HEALTH CARE,INTERNAL MEDICINE RESIDENT,74027,74027,74027,5
STANFORD HEALTH CARE,FAMILY MEDICINE RESIDENT,74027,74027,74027,1
