Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
STATE STREET BANK AND TRUST COMPANY,SYSTEMS SENIOR CONSULTANT MANAGING DIRECTOR,208520,208520,208520.0,1
STATE STREET BANK AND TRUST COMPANY,TECHNICAL PRODUCT MANAGEMENT,205000,205000,205000.0,1
STATE STREET BANK AND TRUST COMPANY,FOREIGN EXCHANGE,175000,175000,175000.0,1
STATE STREET BANK AND TRUST COMPANY,RESEARCH AVP,175000,175000,175000.0,1
STATE STREET BANK AND TRUST COMPANY,ORACLE CLOUD INFRASTRUCTURE OCI TECH LEAD,169104,169104,169104.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR SOFTWARE DEVELOPER,157643,169229,163436.0,2
STATE STREET BANK AND TRUST COMPANY,SYSTEMS OPERATIONS & ADMIN,157643,157643,157643.0,1
STATE STREET BANK AND TRUST COMPANY,APPLICATION DEVELOPMENT MAINTENANCE VP,157643,157643,157643.0,1
STATE STREET BANK AND TRUST COMPANY,APPLICATION DEVELOPER,157643,157643,157643.0,1
STATE STREET BANK AND TRUST COMPANY,RELEASE MANAGER – PAYMENTS & BANKING PLATFORM,157643,157643,157643.0,1
STATE STREET BANK AND TRUST COMPANY,FINANCE TAX,151000,151000,151000.0,1
STATE STREET BANK AND TRUST COMPANY,CLIENT TECHNICAL ACCOUNT MANAGEMENT,150000,150000,150000.0,1
STATE STREET BANK AND TRUST COMPANY,INFRASTRUCTURE OPERATIONS,126242,187907,148848.2,5
STATE STREET BANK AND TRUST COMPANY,PRODUCT MANAGEMENT,141856,141856,141856.0,1
STATE STREET BANK AND TRUST COMPANY,DATA MANAGEMENT & ADMINISTRATION,141856,141856,141856.0,1
STATE STREET BANK AND TRUST COMPANY,PAM SECURITY ENGINEER,141856,141856,141856.0,1
STATE STREET BANK AND TRUST COMPANY,SERVICE DELIVERY TPM,141856,141856,141856.0,1
STATE STREET BANK AND TRUST COMPANY,CREDIT SERVICES ANALYST,140000,140000,140000.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR REACT UI DEVELOPER,139464,139464,139464.0,1
STATE STREET BANK AND TRUST COMPANY,RBAC FULL STACK DEVELOPER,139464,139464,139464.0,1
STATE STREET BANK AND TRUST COMPANY,PROJECT MANAGEMENT,139460,139460,139460.0,1
STATE STREET BANK AND TRUST COMPANY,PLATFORM ENGINEERING,139205,139205,139205.0,1
STATE STREET BANK AND TRUST COMPANY,IT SECURITY,130295,143458,136876.5,2
STATE STREET BANK AND TRUST COMPANY,APPLICATION DEVELOPMENT MAINTENANCE,112986,163654,136146.79166666666,24
STATE STREET BANK AND TRUST COMPANY,SENIOR SOFTWARE ENGINEER I,131666,131666,131666.0,1
STATE STREET BANK AND TRUST COMPANY,QUALITY ASSURANCE,130021,130021,130021.0,1
STATE STREET BANK AND TRUST COMPANY,QUALITY ASSURANCE VP,130021,130021,130021.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR PRODUCT SPECIALIST I,130021,130021,130021.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR PRODUCT SPECIALIST II,130021,130021,130021.0,1
STATE STREET BANK AND TRUST COMPANY,IT PROG PROJ MNGMT & BA AVP,129227,129227,129227.0,1
STATE STREET BANK AND TRUST COMPANY,TEAM LEAD SAAS OPERATIONS,128627,128627,128627.0,3
STATE STREET BANK AND TRUST COMPANY,TECHNOLOGY RISK,127817,127817,127817.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR SOFTWARE ENGINEER II,126610,126610,126610.0,1
STATE STREET BANK AND TRUST COMPANY,APPLICATION DEVELOPMENT MAINTENANCE AVP,126242,126242,126242.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR RELEASE ENGINEER I,126242,126242,126242.0,1
STATE STREET BANK AND TRUST COMPANY,LIQUIDITY RISK,124426,124426,124426.0,1
STATE STREET BANK AND TRUST COMPANY,NETWORK OPERATIONS,120300,120300,120300.0,1
STATE STREET BANK AND TRUST COMPANY,IT PROG PROJ MNGMT & BA,116979,116979,116979.0,1
STATE STREET BANK AND TRUST COMPANY,QUANTITATIVE RISK,103418,130000,116709.0,2
STATE STREET BANK AND TRUST COMPANY,BUSINESS ANALYSIS,116645,116645,116645.0,1
STATE STREET BANK AND TRUST COMPANY,QUALITY ASSURANCE AVP,112809,112809,112809.0,1
STATE STREET BANK AND TRUST COMPANY,PRODUCT SPECIALIST,96845,128627,112736.0,2
STATE STREET BANK AND TRUST COMPANY,IT PROGRAM PROJECT MANAGEMENT – BUSINESS ANALYST,105211,105211,105211.0,1
STATE STREET BANK AND TRUST COMPANY,SENIOR BUSINESS ANALYST,100000,100000,100000.0,1
