Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
STRATEGIC STAFFING SOLUTIONS LC,FRONT END DEVELOPER,205920,205920,205920,1
STRATEGIC STAFFING SOLUTIONS LC,PLM ENGINEER,197600,197600,197600,2
STRATEGIC STAFFING SOLUTIONS LC,PLATFORM SUPPORT ENGINEER,170560,170560,170560,1
STRATEGIC STAFFING SOLUTIONS LC,LEAD SOFTWARE ENGINEER,170560,170560,170560,1
STRATEGIC STAFFING SOLUTIONS LC,SENIOR SOFTWARE ENGINEER SALESFORCE DEVELOPER,166400,166400,166400,1
STRATEGIC STAFFING SOLUTIONS LC,SENIOR .NET DEVELOPER,158080,158080,158080,1
STRATEGIC STAFFING SOLUTIONS LC,DATA ENGINEER,156000,156000,156000,1
STRATEGIC STAFFING SOLUTIONS LC,SENIOR SOFTWARE ENGINEER,141440,170560,156000,8
STRATEGIC STAFFING SOLUTIONS LC,NETWORK ENGINEER,135200,166400,150800,2
STRATEGIC STAFFING SOLUTIONS LC,SENIOR INFRASTRUCTURE ENGINEER,135200,156000,145600,2
STRATEGIC STAFFING SOLUTIONS LC,SYSTEMS ENGINEER,145600,145600,145600,1
STRATEGIC STAFFING SOLUTIONS LC,LEAD DATA MANAGEMENT ANALYST,143520,143520,143520,1
STRATEGIC STAFFING SOLUTIONS LC,PRODUCT OWNER,120640,120640,120640,2
STRATEGIC STAFFING SOLUTIONS LC,SAP SUPPLY CHAIN SYSTEMS ANALYST,114400,114400,114400,1
STRATEGIC STAFFING SOLUTIONS LC,QA III,98800,98800,98800,1
STRATEGIC STAFFING SOLUTIONS LC,CERTIFIED QUALITY ENGINEER 3 CQE3,98800,98800,98800,1
STRATEGIC STAFFING SOLUTIONS LC,CHANGE IMPLEMENTATION CONSULTANT,83200,83200,83200,2
