Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
THE UNIVERSITY OF CHICAGO,CLINICAL ASSISTANT PROFESSOR,200000,200000,200000.0,1
THE UNIVERSITY OF CHICAGO,PROFESSOR IN ARABIAN PENINSULA AND GULF STATES ARCHAEOLOGY,170000,170000,170000.0,1
THE UNIVERSITY OF CHICAGO,ASSISTANT PROFESSOR,66593,357075,168237.0,5
THE UNIVERSITY OF CHICAGO,ASSOCIATE UNIVERSITY LIBRARIAN FOR DIGITAL STRATEGY AND SERV,160000,160000,160000.0,1
THE UNIVERSITY OF CHICAGO,SENIOR SOFTWARE ENGINEER,151061,151061,151061.0,1
THE UNIVERSITY OF CHICAGO,SOFTWARE ENGINEER,122595,122595,122595.0,1
THE UNIVERSITY OF CHICAGO,SENIOR DATA ENGINEER,120000,120000,120000.0,1
THE UNIVERSITY OF CHICAGO,EXECUTIVE DIRECTOR,110760,110760,110760.0,1
THE UNIVERSITY OF CHICAGO,RESEARCH PROFESSOR,110000,110000,110000.0,1
THE UNIVERSITY OF CHICAGO,PRINCIPAL ALGORITHM SIGNAL PROCESSING ENGINEER,107604,107604,107604.0,1
THE UNIVERSITY OF CHICAGO,TECHNICAL BUSINESS ANALYST,105000,105000,105000.0,1
THE UNIVERSITY OF CHICAGO,DATA SCIENCE ANALYST,90000,90000,90000.0,1
THE UNIVERSITY OF CHICAGO,SYSTEMS ADMINISTRATOR,85000,85000,85000.0,1
THE UNIVERSITY OF CHICAGO,ASSISTANT SENIOR INSTRUCTIONAL PROFESSOR,82000,82000,82000.0,1
THE UNIVERSITY OF CHICAGO,BIOINFORMATICIAN,70000,87976,81983.66666666667,3
THE UNIVERSITY OF CHICAGO,STAFF SCIENTIST,61747,90000,78915.66666666667,3
THE UNIVERSITY OF CHICAGO,DATA SCIENCE SR ANALYST,77821,77821,77821.0,1
THE UNIVERSITY OF CHICAGO,ASSOCIATE DIRECTOR TRUSTEE PROTOCOL & EXECUTIVE ASSISTANT,76523,76523,76523.0,1
THE UNIVERSITY OF CHICAGO,RESEARCH PROFESSIONAL 2,74000,74000,74000.0,1
THE UNIVERSITY OF CHICAGO,CLINICAL ASSOCIATE,72925,72925,72925.0,1
THE UNIVERSITY OF CHICAGO,DIRECTOR OF RESEARCH COMPLIANCE,71157,71157,71157.0,1
THE UNIVERSITY OF CHICAGO,COMPUTATIONAL BIOLOGY SR ANALYST,69999,69999,69999.0,1
THE UNIVERSITY OF CHICAGO,CLINICAL RESEARCH COORDINATOR 2,68000,68000,68000.0,1
THE UNIVERSITY OF CHICAGO,RESEARCH PROFESSIONAL,55896,85000,67966.25,4
THE UNIVERSITY OF CHICAGO,WILLIAM H KRUSKAL INSTRUCTOR,66507,66507,66507.0,1
THE UNIVERSITY OF CHICAGO,SENIOR RESEARCH TECHNICIAN,65080,65080,65080.0,1
THE UNIVERSITY OF CHICAGO,RESEARCH ANALYST II,63000,63000,63000.0,2
THE UNIVERSITY OF CHICAGO,CENTRALIZED FELLOWSHIP EDUCATION COORDINATOR,62500,62500,62500.0,1
THE UNIVERSITY OF CHICAGO,COMPUTATIONAL SCIENTIST HPC,62109,62109,62109.0,1
THE UNIVERSITY OF CHICAGO,POSTDOCTORAL SCHOLAR,55596,70000,60101.4,20
THE UNIVERSITY OF CHICAGO,POSTDOCTORAL SCHOLAR POSTDOCTORAL RESEARCHER,60000,60000,60000.0,1
THE UNIVERSITY OF CHICAGO,CHEMICAL SAFETY OFFICER,59696,59696,59696.0,1
THE UNIVERSITY OF CHICAGO,RESEARCH ANALYST,59322,59322,59322.0,1
