Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
TIKTOK US DATA SECURITY INC,ENGINEERING MANAGER TIKTOK FEED RECOMMENDATIONS USDS,315000,315000,315000.0,1
TIKTOK US DATA SECURITY INC,SENIOR DATA ANALYST TIKTOK ADS USDS,268000,268000,268000.0,1
TIKTOK US DATA SECURITY INC,LEAD THREAT DATA SCIENTIST USDS,240000,240000,240000.0,1
TIKTOK US DATA SECURITY INC,DATA SCIENTIST RISK DATA MINING USDS,204680,285000,231453.33333333334,3
TIKTOK US DATA SECURITY INC,DATA SRE ADS DATA – USDS,230000,230000,230000.0,1
TIKTOK US DATA SECURITY INC,SOFTWARE ENGINEER MACHINE LEARNING USDS,220000,220000,220000.0,1
TIKTOK US DATA SECURITY INC,DATA ENGINEER USDS,188000,235000,203666.66666666666,3
TIKTOK US DATA SECURITY INC,DATA ENGINEER DATA PLATFORM – USDS,200000,200000,200000.0,1
TIKTOK US DATA SECURITY INC,SITE RELIABILITY ENGINEER DATA PLATFORM USDS,177000,177000,177000.0,1
TIKTOK US DATA SECURITY INC,DATA SCIENTIST USDS,175000,175000,175000.0,1
TIKTOK US DATA SECURITY INC,OPERATIONS SUPPORT ENGINEER USDS,171995,171995,171995.0,2
TIKTOK US DATA SECURITY INC,SITE RELIABILITY ENGINEER CLOUD INFRASTRUCTURE USDS,170000,177000,171750.0,4
TIKTOK US DATA SECURITY INC,APPLICATION SECURITY COMPLIANCE SPECIALIST USDS,170000,170000,170000.0,1
TIKTOK US DATA SECURITY INC,DATA ANALYST RISK DATA MINING USDS,160000,160000,160000.0,1
TIKTOK US DATA SECURITY INC,PENETRATION TESTER NETWORK CLOUD APPLICATION USDS,155000,155000,155000.0,1
TIKTOK US DATA SECURITY INC,ENDPOINT SECURITY OPERATIONS SPECIALIST HIDS USDS,145000,145000,145000.0,1
TIKTOK US DATA SECURITY INC,APPLICATION SECURITY ENGINEER SOFTWARE ASSURANCE USDS,125000,125000,125000.0,1
TIKTOK US DATA SECURITY INC,SENIOR RISK BUSINESS ANALYST USDS,109680,109680,109680.0,1
TIKTOK US DATA SECURITY INC,INTELLECTUAL PROPERTY AND IDENTITY SUPPORT USDS,86320,86320,86320.0,1
