Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
TUSIMPLE INC,FUNCTIONAL SAFETY OPERATIONS MANAGER,154731,154731,154731.0,1
TUSIMPLE INC,SENIOR RESEARCH SCIENTIST I,110136,110136,110136.0,1
TUSIMPLE INC,RESEARCH SCIENTIST II,110136,110136,110136.0,1
TUSIMPLE INC,RESEARCH ENGINEER I,102835,114920,108877.5,2
TUSIMPLE INC,SOFTWARE ENGINEER II,101109,111322,107917.66666666667,3
TUSIMPLE INC,SOFTWARE ENGINEER III,101109,111322,104513.33333333333,3
TUSIMPLE INC,SOFTWARE ENGINEER I,101109,111322,103151.6,5
TUSIMPLE INC,TECH LEAD SIMULATION,101109,101109,101109.0,1
TUSIMPLE INC,SENIOR SOFTWARE ENGINEER II,101109,101109,101109.0,1
TUSIMPLE INC,SOFTWARE ENGINEER,98592,98592,98592.0,1
TUSIMPLE INC,TECH LEAD PLANNING,98592,98592,98592.0,1
TUSIMPLE INC,TECHNICAL PROGRAM MANAGER,94910,94910,94910.0,1
TUSIMPLE INC,RESEARCH ENGINEER II,80662,110136,93343.33333333333,3
TUSIMPLE INC,SENIOR SENSOR RESEARCH ENGINEER I,89232,89232,89232.0,1
TUSIMPLE INC,SENIOR TECHNICAL PROGRAM MANAGER III,89232,89232,89232.0,1
TUSIMPLE INC,TECH LEAD SYSTEM INTEGRATION & TRACK TEST ENGINEER,86008,86008,86008.0,1
TUSIMPLE INC,ASSOCIATE PROJECT MANAGER,83013,83699,83356.0,2
