Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
TWILIO INC,SENIOR MANAGER SOFTWARE ENGINEERING L5,277200,277200,277200.0,1
TWILIO INC,PRINCIPAL SOFTWARE ENGINEER L5,213571,250570,238047.0,3
TWILIO INC,STAFF PRODUCT MANAGER L4,235400,235400,235400.0,1
TWILIO INC,STAFF SECURITY ENGINEER,212312,212312,212312.0,1
TWILIO INC,STAFF SOFTWARE ENGINEER L4,191360,235000,210210.0,11
TWILIO INC,STAFF DATA ENGINEER L4,203906,203906,203906.0,1
TWILIO INC,STAFF SECURITY ENGINEER L4,202633,202633,202633.0,1
TWILIO INC,STAFF MACHINE LEARNING SCIENTIST L4,169146,215860,192503.0,2
TWILIO INC,TECH LEAD L4,182312,200970,191641.0,2
TWILIO INC,SENIOR PRODUCT MANAGER OPPORTUNITY LIFECYCLE,180616,180616,180616.0,1
TWILIO INC,SOFTWARE ENGINEER L3,150770,186379,171802.25,8
TWILIO INC,MANAGER SOFTWARE ENGINEERING L4,170310,170310,170310.0,1
TWILIO INC,TECHNICAL PROGRAM MANAGER STAFF,165400,165400,165400.0,1
TWILIO INC,TECHNICAL ACCOUNT MANAGER 5,159310,159310,159310.0,1
TWILIO INC,SOFTWARE ENGINEER IAM,146883,146883,146883.0,1
TWILIO INC,BUSINESS SYSTEMS ANALYST L3,134970,134970,134970.0,1
TWILIO INC,SOFTWARE ENGINEER L2,120328,128877,124602.5,2
TWILIO INC,TECHNICAL SUPPORT ENGINEER 3,124004,124004,124004.0,1
TWILIO INC,SENIOR IT INTERNAL AUDITOR,102000,102000,102000.0,1
TWILIO INC,TECHNICAL SUPPORT ENGINEER 1,66560,66560,66560.0,1
