Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
URSI TECHNOLOGIES INC,SAP DEVELOPER,85000,110000,97500,2
URSI TECHNOLOGIES INC,APPLICATION DEVELOPER,88000,94000,91000,2
URSI TECHNOLOGIES INC,SOFTWARE ARCHITECT MASTER DATA MANAGEMENT,89000,89000,89000,1
URSI TECHNOLOGIES INC,DEV OPS ENGINEER,85000,100000,88750,4
URSI TECHNOLOGIES INC,SOFTWARE ENGINEER,85000,85000,85000,1
URSI TECHNOLOGIES INC,JAVA DEVELOPER,85000,85000,85000,1
URSI TECHNOLOGIES INC,SOFTWARE ARCHITECT ROBOTIC PROCESS AUTOMATION,85000,85000,85000,1
URSI TECHNOLOGIES INC,SOFTWARE ARCHITECT MACHINE LEARNING,85000,85000,85000,1
URSI TECHNOLOGIES INC,SOFTWARE DEVELOPMENT ENGINEER,85000,85000,85000,1
URSI TECHNOLOGIES INC,SOFTWARE ARCHITECT,85000,85000,85000,1
URSI TECHNOLOGIES INC,CLOUD ENGINEER,85000,85000,85000,1
URSI TECHNOLOGIES INC,PYTHON DEVELOPER,85000,85000,85000,1
URSI TECHNOLOGIES INC,CLOUD ARCHITECT,85000,85000,85000,1
URSI TECHNOLOGIES INC,SOFTWARE DEVELOPER,85000,85000,85000,1
URSI TECHNOLOGIES INC,INFORMATION SECURITY ENGINEER,79000,79000,79000,1
URSI TECHNOLOGIES INC,SDET SOFT DEV ENGINEER IN TEST,79000,79000,79000,1
