Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
VASTEK INC,SME PROJECT MANAGEMENT AND TRAINER,128960,212160,170560.0,2
VASTEK INC,SENIOR QUALITY ENGINEER,116480,116480,116480.0,1
VASTEK INC,TRAINING & DEVELOPMENT MANAGER,110240,110240,110240.0,1
VASTEK INC,PRODUCT AND AUTOMATION VALIDATION ENGINEER,91520,91520,91520.0,1
VASTEK INC,SR PROCESS ENGINEER,91520,91520,91520.0,1
VASTEK INC,PROCESS PROJECT MAINTENANCE ENGINEER,91520,91520,91520.0,1
VASTEK INC,VALIDATION ENGINEER,81120,93600,88192.0,5
VASTEK INC,PROCESS VALIDATION SPECIALIST,85280,85280,85280.0,1
VASTEK INC,ENGINEER I,85280,85280,85280.0,1
VASTEK INC,VERIFICATION AND VALIDATION PROJECT MANAGER,83200,83200,83200.0,1
VASTEK INC,SR BUSINESS DEVELOPMENT MANAGER,83200,83200,83200.0,1
VASTEK INC,SR COMMISSIONING QUALIFICATION AND VALIDATION ENGINEER,81120,81120,81120.0,1
VASTEK INC,QUALITY ENGINEER,66560,87360,80426.66666666667,3
VASTEK INC,SR QUALITY ENGINEER,76960,76960,76960.0,1
