Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
WATERS TECHNOLOGIES CORPORATION,SENIOR MANAGER DIGITAL ARCHITECT,169176,169176,169176,1
WATERS TECHNOLOGIES CORPORATION,PRINCIPAL SOFTWARE ENGINEER SMART CONNECTED PRODUCTS,165000,165000,165000,1
WATERS TECHNOLOGIES CORPORATION,AEM LEAD DEVELOPER,150000,150000,150000,1
WATERS TECHNOLOGIES CORPORATION,SENIOR SYSTEM ACCOUNT MANAGER,143880,143880,143880,1
WATERS TECHNOLOGIES CORPORATION,SENIOR DATA SCIENTIST GLOBAL SUPPLY CHAIN,143325,143325,143325,1
WATERS TECHNOLOGIES CORPORATION,SENIOR ENGINEER DIGITAL EXPERIENCE,139913,139913,139913,1
WATERS TECHNOLOGIES CORPORATION,IMPLEMENTATION CONSULTANT NUGENESIS LMS,108750,108750,108750,1
WATERS TECHNOLOGIES CORPORATION,SENIOR GLOBAL PLANNER,101757,101757,101757,1
WATERS TECHNOLOGIES CORPORATION,DATA PLATFORMS AND ANALYTICS BUSINESS SYSTEMS ANALYST,90000,90000,90000,1
WATERS TECHNOLOGIES CORPORATION,SOFTWARE QUALITY ENGINEER,86730,86730,86730,1
