Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
XILINX INC,SMTS SOFTWARE DEVELOPMENT ENG,236881,255000,242970.25,4
XILINX INC,SMTS HARDWARE DEVELOPMENT ENG,227000,227000,227000.0,1
XILINX INC,SR PROGRAM MANAGER,225000,225000,225000.0,2
XILINX INC,SMTS SILICON DESIGN ENGINEER,215000,215000,215000.0,1
XILINX INC,MTS SOFTWARE DEVELOPMENT ENG,210000,210000,210000.0,2
XILINX INC,SMTS SYSTEMS DESIGN ENG,180003,180003,180003.0,2
XILINX INC,PMTS SILICON DESIGN ENGINEER,180003,180003,180003.0,1
XILINX INC,SR SOFTWARE DEVELOPMENT ENGINEER,175064,175064,175064.0,1
XILINX INC,MTS SYSTEMS DESIGN ENG,170000,170000,170000.0,1
XILINX INC,SR SYSTEMS DESIGN ENGINEER,165000,165000,165000.0,1
XILINX INC,MTS SILICON DESIGN ENGINEER,153504,182000,163002.66666666666,3
XILINX INC,MTS TEST ENGINEER,153504,153504,153504.0,1
XILINX INC,SR SILICON DESIGN ENGINEER,126984,155000,133988.0,4
XILINX INC,SENIOR SILICON VALIDATION PROGRAM MANAGER,126984,126984,126984.0,1
XILINX INC,FIELD APPS ENGINEER XILINX SIP,92682,92682,92682.0,1
