Company Name,Job Title,Min Wage,Max Wage,Average Wage,Job Count
ZOOX INC,STAFF TECHNICAL PROGRAM MANAGER,223000,223000,223000.0,1
ZOOX INC,SENIOR SYSTEMS ENGINEER,216000,216000,216000.0,1
ZOOX INC,MANAGER MISSION PLANNING,210704,210704,210704.0,1
ZOOX INC,MANAGER MILESTONE EXECUTION AND ZOOX RELEASE,210000,210000,210000.0,1
ZOOX INC,MANAGER PMO MILESTONE & ZOOX RELEASE,210000,210000,210000.0,1
ZOOX INC,SENIOR SOFTWARE ENGINEER,181272,215197,198234.5,2
ZOOX INC,SOFTWARE ENGINEER,147368,235000,185592.0,4
ZOOX INC,MANAGER FIRMWARE INTEGRATION AND VERIFICATION,184625,184625,184625.0,1
ZOOX INC,SOFTWARE DEVELOPMENT ENGINEER IN TEST,183726,183726,183726.0,1
ZOOX INC,SENIOR TECHNICAL PROGRAM MANAGER,182645,182645,182645.0,1
ZOOX INC,SENIOR MECHANICAL ENGINEER SENSOR CLEANING,176750,176750,176750.0,1
ZOOX INC,INDUSTRIAL ENGINEER,172000,172000,172000.0,1
ZOOX INC,SENIOR PROGRAM MANAGER VEHICLE ISSUE RESOLUTION,171500,171500,171500.0,1
ZOOX INC,SENIOR SOFTWARE QA ENGINEER,168418,168418,168418.0,2
ZOOX INC,VALIDATION ENGINEER CHASSIS ACTUATORS,164000,164000,164000.0,1
ZOOX INC,SENIOR VERIFICATION AND VALIDATION ENGINEER,160077,160077,160077.0,1
ZOOX INC,SENIOR HARDWARE SOFTWARE INTEGRATION ENGINEER,160077,160077,160077.0,1
ZOOX INC,RF ENGINEER,159224,159224,159224.0,1
ZOOX INC,TECHNICAL PROGRAM MANAGER,146000,170000,158000.0,2
ZOOX INC,HARDWARE SOFTWARE INTEGRATION ENGINEER,156000,156000,156000.0,2
ZOOX INC,FEATURE VALIDATION ENGINEER,150500,150500,150500.0,1
ZOOX INC,SOFTWARE ENGINEER PERCEPTION,147262,147262,147262.0,1
ZOOX INC,SENIOR USER EXPERIENCE DESIGNER,144375,144375,144375.0,1
ZOOX INC,SENIOR SAFETY RESEARCH ENGINEER,144102,144102,144102.0,2
ZOOX INC,TEST ENGINEER POWERTRAIN SYSTEMS,136500,136500,136500.0,1
ZOOX INC,SDET ENGINEER,135283,135283,135283.0,1
ZOOX INC,SUPPLIER QUALITY ENGINEER,116375,116375,116375.0,1
ZOOX INC,PROGRAM MANAGER VEHICLE,115500,115500,115500.0,2
ZOOX INC,SYSTEMS ENGINEER,115000,115000,115000.0,1
ZOOX INC,LOGISTICS PLANNER,113776,113776,113776.0,1
ZOOX INC,FIRMWARE VALIDATION ENGINEER,90979,130000,110489.5,2
